Date,TSN
2010-01-04,9.131671905517578
2010-01-05,9.303268432617188
2010-01-06,9.77328109741211
2010-01-07,9.944870948791504
2010-01-08,9.922487258911133
2010-01-11,9.788196563720703
2010-01-12,9.676289558410645
2010-01-13,9.929949760437012
2010-01-14,10.474568367004395
2010-01-15,10.362661361694336
2010-01-19,10.437265396118164
2010-01-20,10.370121002197266
2010-01-21,10.183606147766113
2010-01-22,10.273137092590332
2010-01-25,10.362661361694336
2010-01-26,10.429802894592285
2010-01-27,10.280595779418945
2010-01-28,10.288055419921875
2010-01-29,10.310434341430664
2010-02-01,10.437265396118164
2010-02-02,10.646159172058105
2010-02-03,10.705842971801758
2010-02-04,10.437265396118164
2010-02-05,10.929657936096191
2010-02-08,11.25792121887207
2010-02-09,11.496659278869629
2010-02-10,11.586186408996582
2010-02-11,11.906984329223633
2010-02-12,11.96667194366455
2010-02-16,12.265089988708496
2010-02-17,12.40683650970459
2010-02-18,12.608275413513184
2010-02-19,12.645576477050781
2010-02-22,12.414298057556152
2010-02-23,12.496369361877441
2010-02-24,12.436683654785156
2010-02-25,12.713387489318848
2010-02-26,12.743305206298828
2010-03-01,12.840521812438965
2010-03-02,13.049915313720703
2010-03-03,12.877907752990723
2010-03-04,13.08730697631836
2010-03-05,12.892863273620605
2010-03-08,13.177051544189453
2010-03-09,13.162095069885254
2010-03-10,13.094786643981934
2010-03-11,13.26679801940918
2010-03-12,13.117220878601074
2010-03-15,12.990089416503906
2010-03-16,13.206966400146484
2010-03-17,13.236882209777832
2010-03-18,13.199481964111328
2010-03-19,13.251837730407715
2010-03-22,13.543496131896973
2010-03-23,13.678106307983398
2010-03-24,13.790289878845215
2010-03-25,13.618279457092285
2010-03-26,13.984726905822754
2010-03-29,14.276384353637695
2010-03-30,14.336207389831543
2010-03-31,14.321256637573242
2010-04-01,14.58299732208252
2010-04-05,14.358648300170898
2010-04-06,14.194121360778809
2010-04-07,14.388561248779297
2010-04-08,14.568048477172852
2010-04-09,14.710136413574219
2010-04-12,14.956924438476562
2010-04-13,15.009267807006836
2010-04-14,15.15884017944336
2010-04-15,15.256065368652344
2010-04-16,14.867180824279785
2010-04-19,14.8821439743042
2010-04-20,15.009267807006836
2010-04-21,15.113972663879395
2010-04-22,15.196234703063965
2010-04-23,15.069099426269531
2010-04-26,15.256065368652344
2010-04-27,14.635356903076172
2010-04-28,14.725092887878418
2010-04-29,14.867180824279785
2010-04-30,14.650308609008789
2010-05-03,14.8821439743042
2010-05-04,14.597957611083984
2010-05-05,14.53065299987793
2010-05-06,13.89498233795166
2010-05-07,13.924898147583008
2010-05-10,13.640711784362793
2010-05-11,13.476188659667969
2010-05-12,13.558449745178223
2010-05-13,13.558449745178223
2010-05-14,13.236882209777832
2010-05-17,13.192008972167969
2010-05-18,13.319141387939453
2010-05-19,13.31165885925293
2010-05-20,12.69094467163086
2010-05-21,12.773214340209961
2010-05-24,12.698432922363281
2010-05-25,12.735822677612305
2010-05-26,12.511463165283203
2010-05-27,13.328572273254395
2010-05-28,13.178647994995117
2010-06-01,12.75885009765625
2010-06-02,13.12617015838623
2010-06-03,13.568458557128906
2010-06-04,13.118672370910645
2010-06-07,13.133671760559082
2010-06-08,13.178647994995117
2010-06-09,13.23111629486084
2010-06-10,13.590947151184082
2010-06-11,13.92078685760498
2010-06-14,13.808341026306152
2010-06-15,14.00324535369873
2010-06-16,13.793351173400879
2010-06-17,13.785852432250977
2010-06-18,13.733377456665039
2010-06-21,13.583449363708496
2010-06-22,13.268607139587402
2010-06-23,13.276092529296875
2010-06-24,13.396041870117188
2010-06-25,12.968746185302734
2010-06-28,12.93126106262207
2010-06-29,12.556446075439453
2010-06-30,12.286576271057129
2010-07-01,12.181629180908203
2010-07-02,12.316560745239258
2010-07-06,12.39152717590332
2010-07-07,12.668888092041016
2010-07-08,12.893779754638672
2010-07-09,13.148659706115723
2010-07-12,13.148659706115723
2010-07-13,13.29859447479248
2010-07-14,13.373550415039062
2010-07-15,13.336068153381348
2010-07-16,12.878792762756348
2010-07-19,13.148659706115723
2010-07-20,13.028719902038574
2010-07-21,12.953752517700195
2010-07-22,13.381046295166016
2010-07-23,13.441020965576172
2010-07-26,13.538471221923828
2010-07-27,13.396041870117188
2010-07-28,13.223625183105469
2010-07-29,13.006234169006348
2010-07-30,13.12617015838623
2010-08-02,13.29859447479248
2010-08-03,13.261103630065918
2010-08-04,13.17115306854248
2010-08-05,12.578938484191895
2010-08-06,12.84880542755127
2010-08-09,12.219108581542969
2010-08-10,12.05418586730957
2010-08-11,11.964227676391602
2010-08-12,11.98672103881836
2010-08-13,12.196619033813477
2010-08-16,12.496478080749512
2010-08-17,12.121654510498047
2010-08-18,12.34654426574707
2010-08-19,12.3390474319458
2010-08-20,12.458993911743164
2010-08-23,12.436508178710938
2010-08-24,12.144147872924805
2010-08-25,12.13664722442627
2010-08-26,12.294071197509766
2010-08-27,12.451497077941895
2010-08-30,12.323751449584961
2010-08-31,12.308721542358398
2010-09-01,12.466527938842773
2010-09-02,12.053230285644531
2010-09-03,12.180975914001465
2010-09-07,12.3012056350708
2010-09-08,12.586755752563477
2010-09-09,12.789651870727539
2010-09-10,12.654387474060059
2010-09-13,12.89484977722168
2010-09-14,12.73705005645752
2010-09-15,12.849764823913574
2010-09-16,12.789651870727539
2010-09-17,11.910457611083984
2010-09-20,12.196002006530762
2010-09-21,11.812767028808594
2010-09-22,11.632418632507324
2010-09-23,11.820280075073242
2010-09-24,11.760164260864258
2010-09-27,11.437042236328125
2010-09-28,11.474614143371582
