Date,LLY
2010-01-04,23.52252769470215
2010-01-05,23.108816146850586
2010-01-06,23.279558181762695
2010-01-07,23.161352157592773
2010-01-08,22.984046936035156
2010-01-11,23.299259185791016
2010-01-12,23.220455169677734
2010-01-13,23.5422306060791
2010-01-14,23.640737533569336
2010-01-15,23.52252769470215
2010-01-19,24.566673278808594
2010-01-20,24.49442481994629
2010-01-21,23.712980270385742
2010-01-22,23.325529098510742
2010-01-25,23.4765682220459
2010-01-26,23.74580192565918
2010-01-27,23.896846771240234
2010-01-28,23.4765682220459
2010-01-29,23.115386962890625
2010-02-01,22.984046936035156
2010-02-02,23.391197204589844
2010-02-03,23.187618255615234
2010-02-04,22.767337799072266
2010-02-05,22.668842315673828
2010-02-08,22.83957862854004
2010-02-09,23.115386962890625
2010-02-10,22.755767822265625
2010-02-11,22.755767822265625
2010-02-12,22.609256744384766
2010-02-16,22.695837020874023
2010-02-17,22.902278900146484
2010-02-18,22.91560173034668
2010-02-19,22.802383422851562
2010-02-22,22.955554962158203
2010-02-23,22.615915298461914
2010-02-24,22.669193267822266
2010-02-25,22.802383422851562
2010-02-26,22.868974685668945
2010-03-01,22.85565948486328
2010-03-02,23.00882911682129
2010-03-03,22.85565948486328
2010-03-04,23.002172470092773
2010-03-05,23.368450164794922
2010-03-08,23.261892318725586
2010-03-09,23.348468780517578
2010-03-10,23.534940719604492
2010-03-11,23.854598999023438
2010-03-12,23.927854537963867
2010-03-15,23.98113250732422
2010-03-16,24.094345092773438
2010-03-17,24.1209774017334
2010-03-18,24.214210510253906
2010-03-19,24.08768081665039
2010-03-22,24.33407974243164
2010-03-23,24.387367248535156
2010-03-24,24.147624969482422
2010-03-25,23.961156845092773
2010-03-26,23.588212966918945
2010-03-29,23.62152099609375
2010-03-30,23.90788459777832
2010-03-31,24.1209774017334
2010-04-01,24.074363708496094
2010-04-05,24.34073829650879
2010-04-06,24.314102172851562
2010-04-07,24.320772171020508
2010-04-08,24.320772171020508
2010-04-09,24.533876419067383
2010-04-12,24.354063034057617
2010-04-13,24.5871524810791
2010-04-14,24.36738395690918
2010-04-15,24.453964233398438
2010-04-16,24.33407974243164
2010-04-19,24.360729217529297
2010-04-20,24.327423095703125
2010-04-21,23.98113250732422
2010-04-22,23.56157684326172
2010-04-23,23.61485481262207
2010-04-26,23.521629333496094
2010-04-27,23.22194480895996
2010-04-28,23.14867401123047
2010-04-29,23.335147857666016
2010-04-30,23.288532257080078
2010-05-03,23.435039520263672
2010-05-04,23.315176010131836
2010-05-05,23.361791610717773
2010-05-06,22.908933639526367
2010-05-07,23.05544662475586
2010-05-10,23.408416748046875
2010-05-11,23.494985580444336
2010-05-12,23.488231658935547
2010-05-13,23.29913330078125
2010-05-14,22.907432556152344
2010-05-17,22.968217849731445
2010-05-18,22.70484161376953
2010-05-19,22.86691665649414
2010-05-20,22.5157413482666
2010-05-21,22.367170333862305
2010-05-24,22.272624969482422
2010-05-25,22.117294311523438
2010-05-26,21.77962875366211
2010-05-27,22.164569854736328
2010-05-28,22.144311904907227
2010-06-01,21.98221778869629
2010-06-02,22.427947998046875
2010-06-03,22.5360050201416
2010-06-04,21.86066246032715
2010-06-07,22.002485275268555
2010-06-08,22.218595504760742
2010-06-09,22.252368927001953
2010-06-10,22.596784591674805
2010-06-11,22.738605499267578
2010-06-14,22.873672485351562
2010-06-15,23.224838256835938
2010-06-16,23.035755157470703
2010-06-17,23.224838256835938
2010-06-18,23.373424530029297
2010-06-21,23.40718650817871
2010-06-22,23.265365600585938
2010-06-23,23.339656829833984
2010-06-24,23.285625457763672
2010-06-25,22.920944213867188
2010-06-28,22.974977493286133
2010-06-29,22.792627334594727
2010-06-30,22.623796463012695
2010-07-01,22.367170333862305
2010-07-02,22.738605499267578
2010-07-06,22.900693893432617
2010-07-07,23.40718650817871
2010-07-08,23.758371353149414
2010-07-09,23.751609802246094
2010-07-12,23.724597930908203
2010-07-13,23.778623580932617
2010-07-14,23.501731872558594
2010-07-15,23.751609802246094
2010-07-16,23.39368438720703
2010-07-19,23.630048751831055
2010-07-20,23.812395095825195
2010-07-21,23.603044509887695
2010-07-22,23.73811149597168
2010-07-23,23.751609802246094
2010-07-26,23.933944702148438
2010-07-27,24.37967872619629
2010-07-28,24.089277267456055
2010-07-29,23.94070816040039
2010-07-30,24.04200553894043
2010-08-02,24.541757583618164
2010-08-03,24.703845977783203
2010-08-04,24.838905334472656
2010-08-05,24.88617706298828
2010-08-06,24.899686813354492
2010-08-09,24.960460662841797
2010-08-10,25.507488250732422
2010-08-11,25.117481231689453
2010-08-12,25.042221069335938
2010-08-13,24.426422119140625
2010-08-16,24.33748435974121
2010-08-17,23.776426315307617
2010-08-18,23.796955108642578
2010-08-19,23.454849243164062
2010-08-20,23.379575729370117
2010-08-23,23.475374221801758
2010-08-24,23.242734909057617
2010-08-25,23.475374221801758
2010-08-26,23.22905731201172
2010-08-27,23.400102615356445
2010-08-30,23.242734909057617
2010-08-31,22.982736587524414
2010-09-01,23.400102615356445
2010-09-02,23.475374221801758
2010-09-03,23.714845657348633
2010-09-07,23.632740020751953
2010-09-08,23.81748390197754
2010-09-09,24.063793182373047
2010-09-10,24.241689682006836
2010-09-13,24.310108184814453
2010-09-14,24.39221954345703
2010-09-15,24.426422119140625
2010-09-16,24.405900955200195
2010-09-17,24.488008499145508
2010-09-20,24.87116241455078
2010-09-21,24.85748863220215
2010-09-22,24.665903091430664
2010-09-23,24.535913467407227
2010-09-24,24.700119018554688
2010-09-27,24.590635299682617
2010-09-28,24.898536682128906
