Date,WMT
2010-01-04,12.986788749694824
2010-01-05,12.85746955871582
2010-01-06,12.828727722167969
2010-01-07,12.835916519165039
2010-01-08,12.771262168884277
2010-01-11,12.981999397277832
2010-01-12,13.106528282165527
2010-01-13,13.173577308654785
2010-01-14,12.981999397277832
2010-01-15,12.85507869720459
2010-01-19,12.938894271850586
2010-01-20,12.89818286895752
2010-01-21,12.673070907592773
2010-01-22,12.677867889404297
2010-01-25,12.663495063781738
2010-01-26,12.838316917419434
2010-01-27,12.788022994995117
2010-01-28,12.59883975982666
2010-01-29,12.795210838317871
2010-02-01,12.807181358337402
2010-02-02,12.809575080871582
2010-02-03,12.996370315551758
2010-02-04,12.685049057006836
2010-02-05,12.80000114440918
2010-02-08,12.675469398498535
2010-02-09,12.752102851867676
2010-02-10,12.749704360961914
2010-02-11,12.711390495300293
2010-02-12,12.668286323547363
2010-02-16,12.826333999633789
2010-02-17,12.946076393127441
2010-02-18,12.804780960083008
2010-02-19,12.809575080871582
2010-02-22,12.89099407196045
2010-02-23,12.840703010559082
2010-02-24,12.912549018859863
2010-02-25,12.967636108398438
2010-02-26,12.948471069335938
2010-03-01,12.907759666442871
2010-03-02,12.833520889282227
2010-03-03,12.850285530090332
2010-03-04,12.922128677368164
2010-03-05,12.965234756469727
2010-03-08,12.967636108398438
2010-03-09,12.946076393127441
2010-03-10,12.915491104125977
2010-03-11,12.997376441955566
2010-03-12,12.980510711669922
2010-03-15,13.346570014953613
2010-03-16,13.483839988708496
2010-03-17,13.466987609863281
2010-03-18,13.471796989440918
2010-03-19,13.327301979064941
2010-03-22,13.39473819732666
2010-03-23,13.459756851196289
2010-03-24,13.385103225708008
2010-03-25,13.39233112335205
2010-03-26,13.368240356445312
2010-03-29,13.423638343811035
2010-03-30,13.464573860168457
2010-03-31,13.38991928100586
2010-04-01,13.36343002319336
2010-04-05,13.36343002319336
2010-04-06,13.373063087463379
2010-04-07,13.31285285949707
2010-04-08,13.336933135986328
2010-04-09,13.262283325195312
2010-04-12,13.25024127960205
2010-04-13,13.17798900604248
2010-04-14,13.15872859954834
2010-04-15,13.035902976989746
2010-04-16,13.031084060668945
2010-04-19,13.098518371582031
2010-04-20,13.129830360412598
2010-04-21,13.117791175842285
2010-04-22,13.122605323791504
2010-04-23,13.132237434387207
2010-04-26,13.01423168182373
2010-04-27,13.01423168182373
2010-04-28,12.91067886352539
2010-04-29,12.932347297668457
2010-04-30,12.917898178100586
2010-05-03,12.941984176635742
2010-05-04,13.009414672851562
2010-05-05,13.19003677368164
2010-05-06,12.81916332244873
2010-05-07,12.61927604675293
2010-05-10,12.662626266479492
2010-05-11,12.633719444274902
2010-05-12,12.711963653564453
2010-05-13,12.692584991455078
2010-05-14,12.624762535095215
2010-05-17,12.772520065307617
2010-05-18,13.009902954101562
2010-05-19,12.847607612609863
2010-05-20,12.426140785217285
2010-05-21,12.443094253540039
2010-05-24,12.353475570678711
2010-05-25,12.179069519042969
2010-05-26,12.116087913513184
2010-05-27,12.280803680419922
2010-05-28,12.2468900680542
2010-06-01,12.334094047546387
2010-06-02,12.527868270874023
2010-06-03,12.527868270874023
2010-06-04,12.208136558532715
2010-06-07,12.290493965148926
2010-06-08,12.300182342529297
2010-06-09,12.351049423217773
2010-06-10,12.40676212310791
2010-06-11,12.319560050964355
2010-06-14,12.411600112915039
2010-06-15,12.508495330810547
2010-06-16,12.348627090454102
2010-06-17,12.45278263092041
2010-06-18,12.486696243286133
2010-06-21,12.358315467834473
2010-06-22,12.275962829589844
2010-06-23,12.30744743347168
2010-06-24,12.118514060974121
2010-06-25,11.820576667785645
2010-06-28,12.00709056854248
2010-06-29,11.844793319702148
2010-06-30,11.643754005432129
2010-07-01,11.709155082702637
2010-07-02,11.626795768737793
2010-07-06,11.764864921569824
2010-07-07,11.849639892578125
2010-07-08,11.912619590759277
2010-07-09,11.973176956176758
2010-07-12,12.140313148498535
2010-07-13,12.242045402526855
2010-07-14,12.196024894714355
2010-07-15,12.210559844970703
2010-07-16,12.031312942504883
2010-07-19,11.994978904724121
2010-07-20,12.324407577514648
2010-07-21,12.196024894714355
2010-07-22,12.319560050964355
2010-07-23,12.515762329101562
2010-07-26,12.384960174560547
2010-07-27,12.343783378601074
2010-07-28,12.384960174560547
2010-07-29,12.368002891540527
2010-07-30,12.399493217468262
2010-08-02,12.45278263092041
2010-08-03,12.423714637756348
2010-08-04,12.498804092407227
2010-08-05,12.503646850585938
2010-08-06,12.54482650756836
2010-08-09,12.61023235321045
2010-08-10,12.6489839553833
2010-08-11,12.430442810058594
2010-08-12,12.286694526672363
2010-08-13,12.279385566711426
2010-08-16,12.28182315826416
2010-08-17,12.430442810058594
2010-08-18,12.391458511352539
2010-08-19,12.196549415588379
2010-08-20,12.235529899597168
2010-08-23,12.459677696228027
2010-08-24,12.498662948608398
2010-08-25,12.559571266174316
2010-08-26,12.418262481689453
2010-08-27,12.42557430267334
2010-08-30,12.315934181213379
2010-08-31,12.216038703918457
2010-09-01,12.474296569824219
2010-09-02,12.610733032226562
2010-09-03,12.678954124450684
2010-09-07,12.635098457336426
2010-09-08,12.627785682678223
2010-09-09,12.647281646728516
2010-09-10,12.661901473999023
2010-09-13,12.720370292663574
2010-09-14,12.830005645751953
2010-09-15,12.878738403320312
2010-09-16,12.949392318725586
2010-09-17,12.915281295776367
2010-09-20,13.044411659240723
2010-09-21,13.051718711853027
2010-09-22,13.112628936767578
2010-09-23,13.07121467590332
2010-09-24,13.175976753234863
2010-09-27,13.029792785644531
2010-09-28,13.112628936767578
