Date,AMAT
2010-01-04,11.04875373840332
2010-01-05,10.963765144348145
2010-01-06,10.940585136413574
2010-01-07,10.824690818786621
2010-01-08,11.241913795471191
2010-01-11,11.489161491394043
2010-01-12,10.971487045288086
2010-01-13,11.0255765914917
2010-01-14,11.087389945983887
2010-01-15,10.608348846435547
2010-01-19,10.79378604888916
2010-01-20,10.662434577941895
2010-01-21,10.49245548248291
2010-01-22,9.758444786071777
2010-01-25,9.76617431640625
2010-01-26,9.773895263671875
2010-01-27,10.07522964477539
2010-01-28,9.742989540100098
2010-01-29,9.410758972167969
2010-02-01,9.673456192016602
2010-02-02,9.665729522705078
2010-02-03,9.488021850585938
2010-02-04,9.117154121398926
2010-02-05,9.449393272399902
2010-02-08,9.32576847076416
2010-02-09,9.387578964233398
2010-02-10,9.449393272399902
2010-02-11,9.634821891784668
2010-02-12,9.634821891784668
2010-02-16,10.005688667297363
2010-02-17,10.03659439086914
2010-02-18,9.797077178955078
2010-02-19,9.65800666809082
2010-02-22,9.665767669677734
2010-02-23,9.324164390563965
2010-02-24,9.526023864746094
2010-02-25,9.487203598022461
2010-02-26,9.502731323242188
2010-03-01,9.704587936401367
2010-03-02,9.642476081848145
2010-03-03,9.619184494018555
2010-03-04,9.518258094787598
2010-03-05,9.541547775268555
2010-03-08,9.595893859863281
2010-03-09,9.541547775268555
2010-03-10,9.727877616882324
2010-03-11,9.634714126586914
2010-03-12,9.595893859863281
2010-03-15,9.494967460632324
2010-03-16,9.665767669677734
2010-03-17,9.828804969787598
2010-03-18,9.805516242980957
2010-03-19,9.696823120117188
2010-03-22,9.921966552734375
2010-03-23,10.279099464416504
2010-03-24,10.092768669128418
2010-03-25,10.216988563537598
2010-03-26,10.255805969238281
2010-03-29,10.333443641662598
2010-03-30,10.442130088806152
2010-03-31,10.457662582397461
2010-04-01,10.364495277404785
2010-04-05,10.496482849121094
2010-04-06,10.46542739868164
2010-04-07,10.543063163757324
2010-04-08,10.356733322143555
2010-04-09,10.457662582397461
2010-04-12,10.581881523132324
2010-04-13,10.713862419128418
2010-04-14,11.187446594238281
2010-04-15,11.133102416992188
2010-04-16,11.148627281188965
2010-04-19,11.102046012878418
2010-04-20,11.226263999938965
2010-04-21,11.202974319458008
2010-04-22,11.156393051147461
2010-04-23,11.234028816223145
2010-04-26,11.148627281188965
2010-04-27,10.814790725708008
2010-04-28,10.907958030700684
2010-04-29,11.070993423461914
2010-04-30,10.698328971862793
2010-05-03,10.869133949279785
2010-05-04,10.395552635192871
2010-05-05,10.263568878173828
2010-05-06,9.867624282836914
2010-05-07,9.704587936401367
2010-05-10,10.240278244018555
2010-05-11,10.372257232666016
2010-05-12,10.690567970275879
2010-05-13,10.271334648132324
2010-05-14,10.053950309753418
2010-05-17,10.232514381408691
2010-05-18,10.046186447143555
2010-05-19,10.108296394348145
2010-05-20,9.852093696594238
2010-05-21,9.87539005279541
2010-05-24,9.75047779083252
2010-05-25,9.890999794006348
2010-05-26,9.773900032043457
2010-05-27,10.203262329101562
2010-05-28,10.086161613464355
2010-06-01,9.828546524047852
2010-06-02,10.03152084350586
2010-06-03,10.172035217285156
2010-06-04,9.812933921813965
2010-06-07,9.508472442626953
2010-06-08,9.633383750915527
2010-06-09,9.516279220581055
2010-06-10,9.781705856323242
2010-06-11,9.906610488891602
2010-06-14,9.906610488891602
2010-06-15,10.35158634185791
2010-06-16,10.453076362609863
2010-06-17,10.460881233215332
2010-06-18,10.414042472839355
2010-06-21,10.35158634185791
2010-06-22,10.195457458496094
2010-06-23,10.242298126220703
2010-06-24,9.961258888244629
2010-06-25,10.109586715698242
2010-06-28,10.015907287597656
2010-06-29,9.617768287658691
2010-06-30,9.383569717407227
2010-07-01,9.367959022521973
2010-07-02,9.367959022521973
2010-07-06,9.196207046508789
2010-07-07,9.516279220581055
2010-07-08,9.453826904296875
2010-07-09,9.602154731750488
2010-07-12,9.60996150970459
2010-07-13,9.773900032043457
2010-07-14,9.781705856323242
2010-07-15,9.727059364318848
2010-07-16,9.516279220581055
2010-07-19,9.664607048034668
2010-07-20,9.633383750915527
2010-07-21,9.524084091186523
2010-07-22,9.719250679016113
2010-07-23,9.76608943939209
2010-07-26,9.80512523651123
2010-07-27,9.844156265258789
2010-07-28,9.641185760498047
2010-07-29,9.321114540100098
2010-07-30,9.211822509765625
2010-08-02,9.375762939453125
2010-08-03,9.227436065673828
2010-08-04,9.26646900177002
2010-08-05,9.219633102416992
2010-08-06,9.243050575256348
2010-08-09,9.26646900177002
2010-08-10,9.001041412353516
2010-08-11,8.751232147216797
2010-08-12,8.712200164794922
2010-08-13,8.720009803771973
2010-08-16,8.751232147216797
2010-08-17,8.891752243041992
2010-08-18,8.883943557739258
2010-08-19,8.868329048156738
2010-08-20,8.657552719116211
2010-08-23,8.63398551940918
2010-08-24,8.319734573364258
2010-08-25,8.414011001586914
2010-08-26,8.272594451904297
2010-08-27,8.398296356201172
2010-08-30,8.225467681884766
2010-08-31,8.14689826965332
2010-09-01,8.414011001586914
2010-09-02,8.476856231689453
2010-09-03,8.626127243041992
2010-09-07,8.50042724609375
2010-09-08,8.311880111694336
2010-09-09,8.469003677368164
2010-09-10,8.390440940856934
2010-09-13,8.469003677368164
2010-09-14,8.728254318237305
2010-09-15,8.673267364501953
2010-09-16,8.704689025878906
2010-09-17,8.657552719116211
2010-09-20,8.76754093170166
2010-09-21,8.838241577148438
2010-09-22,8.76754093170166
2010-09-23,8.869672775268555
2010-09-24,9.136777877807617
2010-09-27,9.06607723236084
2010-09-28,9.21534252166748
