Date,RMD
2010-01-04,21.98685073852539
2010-01-05,21.053903579711914
2010-01-06,21.728628158569336
2010-01-07,21.766111373901367
2010-01-08,21.753612518310547
2010-01-11,22.0076847076416
2010-01-12,21.42458724975586
2010-01-13,21.741130828857422
2010-01-14,21.89105987548828
2010-01-15,21.724462509155273
2010-01-19,22.04100227355957
2010-01-20,22.045162200927734
2010-01-21,21.63283348083496
2010-01-22,21.64533233642578
2010-01-25,22.08681869506836
2010-01-26,22.270084381103516
2010-01-27,21.93687629699707
2010-01-28,21.699472427368164
2010-01-29,21.29964256286621
2010-02-01,21.437082290649414
2010-02-02,21.74529266357422
2010-02-03,21.724462509155273
2010-02-04,21.212175369262695
2010-02-05,22.865659713745117
2010-02-08,22.840679168701172
2010-02-09,22.603267669677734
2010-02-10,22.60742950439453
2010-02-11,23.115564346313477
2010-02-12,23.31547737121582
2010-02-16,23.094738006591797
2010-02-17,23.236345291137695
2010-02-18,23.919401168823242
2010-02-19,23.93606185913086
2010-02-22,24.135976791381836
2010-02-23,23.71531867980957
2010-02-24,23.95688247680664
2010-02-25,23.9652156829834
2010-02-26,23.77362823486328
2010-03-01,24.227609634399414
2010-03-02,24.531654357910156
2010-03-03,24.681581497192383
2010-03-04,24.610790252685547
2010-03-05,24.781543731689453
2010-03-08,24.648271560668945
2010-03-09,24.723241806030273
2010-03-10,25.064767837524414
2010-03-11,25.25635528564453
2010-03-12,25.277175903320312
2010-03-15,25.252185821533203
2010-03-16,25.40629005432129
2010-03-17,25.739482879638672
2010-03-18,26.114334106445312
2010-03-19,25.897762298583984
2010-03-22,26.00187873840332
2010-03-23,26.16848373413086
2010-03-24,26.410049438476562
2010-03-25,26.318424224853516
2010-03-26,26.222623825073242
2010-03-29,26.443376541137695
2010-03-30,26.60163688659668
2010-03-31,26.510011672973633
2010-04-01,26.54332733154297
2010-04-05,26.476696014404297
2010-04-06,26.326749801635742
2010-04-07,26.089345932006836
2010-04-08,25.56455421447754
2010-04-09,25.647863388061523
2010-04-12,25.656190872192383
2010-04-13,25.78113555908203
2010-04-14,25.885265350341797
2010-04-15,25.79779815673828
2010-04-16,25.664525985717773
2010-04-19,25.76865005493164
2010-04-20,26.46418571472168
2010-04-21,26.38089370727539
2010-04-22,26.551660537719727
2010-04-23,26.49335289001465
2010-04-26,26.326749801635742
2010-04-27,25.38129997253418
2010-04-28,25.81446075439453
2010-04-29,25.693674087524414
2010-04-30,28.500864028930664
2010-05-03,28.604990005493164
2010-05-04,28.20098876953125
2010-05-05,28.1509952545166
2010-05-06,27.35965919494629
2010-05-07,26.501684188842773
2010-05-10,27.6636962890625
2010-05-11,28.142663955688477
2010-05-12,28.642467498779297
2010-05-13,28.663299560546875
2010-05-14,28.442554473876953
2010-05-17,28.621641159057617
2010-05-18,27.67203712463379
2010-05-19,26.951488494873047
2010-05-20,26.05602264404297
2010-05-21,25.46043586730957
2010-05-24,25.86444091796875
2010-05-25,25.82695198059082
2010-05-26,25.464601516723633
2010-05-27,26.54332733154297
2010-05-28,26.19347381591797
2010-06-01,26.36423683166504
2010-06-02,27.06395721435547
2010-06-03,27.288850784301758
2010-06-04,26.834882736206055
2010-06-07,26.214296340942383
2010-06-08,26.16848373413086
2010-06-09,26.110170364379883
2010-06-10,26.514179229736328
2010-06-11,26.814050674438477
2010-06-14,27.12225914001465
2010-06-15,27.526260375976562
2010-06-16,27.26386260986328
2010-06-17,26.94732093811035
2010-06-18,26.393394470214844
2010-06-21,26.510011672973633
2010-06-22,26.35590362548828
2010-06-23,25.801963806152344
2010-06-24,25.568727493286133
2010-06-25,25.693674087524414
2010-06-28,25.672847747802734
2010-06-29,25.210538864135742
2010-06-30,25.32716178894043
2010-07-01,24.827362060546875
2010-07-02,25.477092742919922
2010-07-06,25.801963806152344
2010-07-07,26.66411590576172
2010-07-08,27.072277069091797
2010-07-09,27.043123245239258
2010-07-12,27.218055725097656
2010-07-13,27.584564208984375
2010-07-14,27.82613754272461
2010-07-15,27.83863067626953
2010-07-16,27.68036651611328
2010-07-19,26.951488494873047
2010-07-20,26.930673599243164
2010-07-21,26.318424224853516
2010-07-22,26.776565551757812
2010-07-23,27.355499267578125
2010-07-26,26.94317054748535
2010-07-27,26.6516170501709
2010-07-28,26.568326950073242
2010-07-29,26.65578269958496
2010-07-30,27.35965919494629
2010-08-02,27.880290985107422
2010-08-03,28.067712783813477
2010-08-04,28.192657470703125
2010-08-05,28.334264755249023
2010-08-06,27.06395721435547
2010-08-09,27.284698486328125
2010-08-10,26.76407814025879
2010-08-11,26.376733779907227
2010-08-12,25.860273361206055
2010-08-13,26.135156631469727
2010-08-16,26.160152435302734
2010-08-17,26.73491668701172
2010-08-18,26.480857849121094
2010-08-19,26.418384552001953
2010-08-20,26.143489837646484
2010-08-23,26.118499755859375
2010-08-24,25.34798240661621
2010-08-25,25.268856048583984
2010-08-26,24.88567352294922
2010-08-27,25.485437393188477
2010-08-30,25.1480655670166
2010-08-31,25.10641860961914
2010-09-01,25.681182861328125
2010-09-02,26.23095703125
2010-09-03,26.847373962402344
2010-09-07,26.69743537902832
2010-09-08,26.39755630493164
2010-09-09,26.9639835357666
2010-09-10,26.914011001586914
2010-09-13,27.53875732421875
2010-09-14,27.572072982788086
2010-09-15,27.846973419189453
2010-09-16,27.71368408203125
2010-09-17,27.53875732421875
2010-09-20,27.622053146362305
2010-09-21,27.005630493164062
2010-09-22,27.163915634155273
2010-09-23,26.94732093811035
2010-09-24,27.347171783447266
2010-09-27,27.372156143188477
2010-09-28,27.430471420288086
