Date,TMUS
2010-01-04,12.822616577148438
2010-01-05,12.854793548583984
2010-01-06,11.986008644104004
2010-01-07,12.09862995147705
2010-01-08,11.422907829284668
2010-01-11,11.567706108093262
2010-01-12,10.216262817382812
2010-01-13,10.18408489227295
2010-01-14,10.023200988769531
2010-01-15,10.167997360229492
2010-01-19,10.296707153320312
2010-01-20,10.039288520812988
2010-01-21,9.63707447052002
2010-01-22,9.460099220275879
2010-01-25,9.4279203414917
2010-01-26,9.250946044921875
2010-01-27,9.154414176940918
2010-01-28,8.896997451782227
2010-01-29,9.057884216308594
2010-02-01,9.540542602539062
2010-02-02,9.5083646774292
2010-02-03,9.78187084197998
2010-02-04,9.347478866577148
2010-02-05,9.460099220275879
2010-02-08,9.444010734558105
2010-02-09,9.66925048828125
2010-02-10,9.299212455749512
2010-02-11,9.55663013458252
2010-02-12,9.588807106018066
2010-02-16,9.974933624267578
2010-02-17,9.991022109985352
2010-02-18,10.087553024291992
2010-02-19,10.151908874511719
2010-02-22,10.039288520812988
2010-02-23,9.910579681396484
2010-02-24,10.039288520812988
2010-02-25,10.4254150390625
2010-02-26,9.926669120788574
2010-03-01,9.71751594543457
2010-03-02,10.023200988769531
2010-03-03,10.18408489227295
2010-03-04,10.248440742492676
2010-03-05,10.264528274536133
2010-03-08,10.538034439086914
2010-03-09,10.618478775024414
2010-03-10,10.634566307067871
2010-03-11,10.827630043029785
2010-03-12,10.763274192810059
2010-03-15,10.666743278503418
2010-03-16,11.020691871643066
2010-03-17,11.117222785949707
2010-03-18,11.16549015045166
2010-03-19,11.3424654006958
2010-03-22,11.358553886413574
2010-03-23,11.583793640136719
2010-03-24,11.374643325805664
2010-03-25,11.16549015045166
2010-03-26,11.149401664733887
2010-03-29,11.229846954345703
2010-03-30,11.406820297241211
2010-03-31,11.390730857849121
2010-04-01,11.599883079528809
2010-04-05,11.712502479553223
2010-04-06,11.776859283447266
2010-04-07,11.519438743591309
2010-04-08,11.905567169189453
2010-04-09,11.825122833251953
2010-04-12,12.09862995147705
2010-04-13,12.130806922912598
2010-04-14,12.162983894348145
2010-04-15,12.420400619506836
2010-04-16,12.01818561553955
2010-04-19,12.03427505493164
2010-04-20,12.227336883544922
2010-04-21,12.323869705200195
2010-04-22,12.436491012573242
2010-04-23,12.581286430358887
2010-04-26,12.50084400177002
2010-04-27,12.162983894348145
2010-04-28,12.130806922912598
2010-04-29,12.5330228805542
2010-04-30,12.275603294372559
2010-05-03,12.806526184082031
2010-05-04,12.50084400177002
2010-05-05,12.452577590942383
2010-05-06,12.967414855957031
2010-05-07,11.503352165222168
2010-05-10,12.613463401794434
2010-05-11,13.273097038269043
2010-05-12,14.07752799987793
2010-05-13,14.125791549682617
2010-05-14,14.029261589050293
2010-05-17,14.560186386108398
2010-05-18,14.09361743927002
2010-05-19,14.19014835357666
2010-05-20,13.739665985107422
2010-05-21,13.49833869934082
2010-05-24,13.578781127929688
2010-05-25,13.578781127929688
2010-05-26,14.109705924987793
2010-05-27,14.479742050170898
2010-05-28,14.463655471801758
2010-06-01,13.852287292480469
2010-06-02,13.852287292480469
2010-06-03,14.25450325012207
2010-06-04,13.8844633102417
2010-06-07,13.321361541748047
2010-06-08,13.337451934814453
2010-06-09,13.337451934814453
2010-06-10,13.771844863891602
2010-06-11,13.916641235351562
2010-06-14,14.302766799926758
2010-06-15,14.72107219696045
2010-06-16,14.608451843261719
2010-06-17,14.704983711242676
2010-06-18,14.656716346740723
2010-06-21,14.399297714233398
2010-06-22,14.109705924987793
2010-06-23,14.286681175231934
2010-06-24,13.852287292480469
2010-06-25,13.546605110168457
2010-06-28,13.659225463867188
2010-06-29,13.305275917053223
2010-06-30,13.176566123962402
2010-07-01,13.56269359588623
2010-07-02,13.353541374206543
2010-07-06,13.401806831359863
2010-07-07,13.916641235351562
2010-07-08,14.495829582214355
2010-07-09,14.817604064941406
2010-07-12,14.833690643310547
2010-07-13,15.268084526062012
2010-07-14,15.187641143798828
2010-07-15,14.994579315185547
2010-07-16,14.2062349319458
2010-07-19,14.157970428466797
2010-07-20,14.560186386108398
2010-07-21,14.222325325012207
2010-07-22,14.447566986083984
2010-07-23,14.704983711242676
2010-07-26,14.930224418640137
2010-07-27,14.624541282653809
2010-07-28,14.174059867858887
2010-07-29,14.270590782165527
2010-07-30,14.399297714233398
2010-08-02,14.672805786132812
2010-08-03,14.157970428466797
2010-08-04,14.14188003540039
2010-08-05,15.203729629516602
2010-08-06,14.656716346740723
2010-08-09,14.463655471801758
2010-08-10,13.610957145690918
2010-08-11,13.675312042236328
2010-08-12,14.157970428466797
2010-08-13,14.09361743927002
2010-08-16,14.334944725036621
2010-08-17,14.576273918151855
2010-08-18,14.576273918151855
2010-08-19,14.286681175231934
2010-08-20,14.447566986083984
2010-08-23,14.318855285644531
2010-08-24,14.318855285644531
2010-08-25,14.608451843261719
2010-08-26,14.431478500366211
2010-08-27,14.544097900390625
2010-08-30,14.318855285644531
2010-08-31,14.383208274841309
2010-09-01,14.833690643310547
2010-09-02,15.075021743774414
2010-09-03,15.332436561584473
2010-09-07,15.235904693603516
2010-09-08,15.3967924118042
2010-09-09,15.702475547790527
2010-09-10,15.670297622680664
2010-09-13,15.863361358642578
2010-09-14,15.718567848205566
2010-09-15,15.65420913696289
2010-09-16,15.332436561584473
2010-09-17,15.219818115234375
2010-09-20,15.911630630493164
2010-09-21,15.863361358642578
2010-09-22,16.329931259155273
2010-09-23,15.975983619689941
2010-09-24,16.26557731628418
2010-09-27,16.732147216796875
2010-09-28,16.65170669555664
