Date,AIZ
2010-01-04,22.143978118896484
2010-01-05,22.804763793945312
2010-01-06,22.738685607910156
2010-01-07,23.017688751220703
2010-01-08,23.032379150390625
2010-01-11,23.193906784057617
2010-01-12,22.980981826782227
2010-01-13,23.193906784057617
2010-01-14,22.951610565185547
2010-01-15,22.415630340576172
2010-01-19,22.63589859008789
2010-01-20,22.24675178527832
2010-01-21,22.980981826782227
2010-01-22,23.370107650756836
2010-01-25,23.583036422729492
2010-01-26,23.12047576904297
2010-01-27,23.384807586669922
2010-01-28,23.186553955078125
2010-01-29,23.076425552368164
2010-02-01,23.252641677856445
2010-02-02,23.575685501098633
2010-02-03,23.24530029296875
2010-02-04,23.29669189453125
2010-02-05,22.70197296142578
2010-02-08,22.143978118896484
2010-02-09,22.29815101623535
2010-02-10,22.121944427490234
2010-02-11,21.850282669067383
2010-02-12,21.9237060546875
2010-02-16,22.6212100982666
2010-02-17,22.54779052734375
2010-02-18,22.61419105529785
2010-02-19,22.8060302734375
2010-02-22,22.732250213623047
2010-02-23,22.451873779296875
2010-02-24,22.83553695678711
2010-02-25,22.54779052734375
2010-02-26,22.51827621459961
2010-03-01,22.61419105529785
2010-03-02,22.6732177734375
2010-03-03,22.702741622924805
2010-03-04,22.850296020507812
2010-03-05,23.37415313720703
2010-03-08,23.77257537841797
2010-03-09,23.861112594604492
2010-03-10,24.06032371520996
2010-03-11,24.33331871032715
2010-03-12,24.274288177490234
2010-03-15,24.067703247070312
2010-03-16,24.451364517211914
2010-03-17,24.71698760986328
2010-03-18,24.56941795349121
2010-03-19,24.495634078979492
2010-03-22,24.60630989074707
2010-03-23,24.473501205444336
2010-03-24,24.702226638793945
2010-03-25,24.8424072265625
2010-03-26,25.06376075744629
2010-03-29,25.358882904052734
2010-03-30,25.336753845214844
2010-03-31,25.366268157958984
2010-04-01,25.742551803588867
2010-04-05,26.28853416442871
2010-04-06,26.170488357543945
2010-04-07,25.749923706054688
2010-04-08,25.646636962890625
2010-04-09,25.550724029541016
2010-04-12,25.794193267822266
2010-04-13,25.83847427368164
2010-04-14,26.406597137451172
2010-04-15,26.332796096801758
2010-04-16,25.410533905029297
2010-04-19,25.742551803588867
2010-04-20,25.82370948791504
2010-04-21,25.779436111450195
2010-04-22,25.764678955078125
2010-04-23,25.742551803588867
2010-04-26,25.779436111450195
2010-04-27,24.930940628051758
2010-04-28,24.8571720123291
2010-04-29,26.827159881591797
2010-04-30,26.878786087036133
2010-05-03,26.98208999633789
2010-05-04,26.266407012939453
2010-05-05,26.893537521362305
2010-05-06,26.022918701171875
2010-05-07,25.565481185913086
2010-05-10,26.9599609375
2010-05-11,26.75337028503418
2010-05-12,27.432167053222656
2010-05-13,27.314111709594727
2010-05-14,26.465620040893555
2010-05-17,26.738609313964844
2010-05-18,26.037681579589844
2010-05-19,26.133596420288086
2010-05-20,25.07372283935547
2010-05-21,25.422082901000977
2010-05-24,24.85878562927246
2010-05-25,25.473949432373047
2010-05-26,25.34054183959961
2010-05-27,26.163238525390625
2010-05-28,25.71855926513672
2010-06-01,25.659250259399414
2010-06-02,26.47453498840332
2010-06-03,26.519001007080078
2010-06-04,25.429489135742188
2010-06-07,25.029253005981445
2010-06-08,25.28866195678711
2010-06-09,25.199724197387695
2010-06-10,26.19289207458496
2010-06-11,26.570886611938477
2010-06-14,26.49675941467285
2010-06-15,27.35652732849121
2010-06-16,27.32686996459961
2010-06-17,27.601106643676758
2010-06-18,27.460290908813477
2010-06-21,27.423240661621094
2010-06-22,27.186059951782227
2010-06-23,26.99334716796875
2010-06-24,26.637588500976562
2010-06-25,26.71171760559082
2010-06-28,27.12675666809082
2010-06-29,25.85936737060547
2010-06-30,25.71855926513672
2010-07-01,25.57772445678711
2010-07-02,25.34054183959961
2010-07-06,25.488784790039062
2010-07-07,26.54123878479004
2010-07-08,26.570886611938477
2010-07-09,26.593122482299805
2010-07-12,26.1187744140625
2010-07-13,27.030399322509766
2010-07-14,27.22311019897461
2010-07-15,27.393579483032227
2010-07-16,27.111934661865234
2010-07-19,27.23793601989746
2010-07-20,27.801231384277344
2010-07-21,26.96370506286621
2010-07-22,27.371347427368164
2010-07-23,27.282407760620117
2010-07-26,27.430648803710938
2010-07-27,27.134170532226562
2010-07-28,27.037817001342773
2010-07-29,27.55664825439453
2010-07-30,27.638166427612305
2010-08-02,28.349689483642578
2010-08-03,28.11250877380371
2010-08-04,27.55664825439453
2010-08-05,27.87533950805664
2010-08-06,27.87533950805664
2010-08-09,28.105112075805664
2010-08-10,28.25334358215332
2010-08-11,27.423240661621094
2010-08-12,27.312055587768555
2010-08-13,27.430648803710938
2010-08-16,27.163820266723633
2010-08-17,27.756757736206055
2010-08-18,27.816051483154297
2010-08-19,27.2157039642334
2010-08-20,26.948890686035156
2010-08-23,26.822887420654297
2010-08-24,26.45229148864746
2010-08-25,26.62277603149414
2010-08-26,26.667438507080078
2010-08-27,27.434255599975586
2010-08-30,26.80889129638672
2010-08-31,27.218364715576172
2010-09-01,27.962841033935547
2010-09-02,28.00751495361328
2010-09-03,28.826444625854492
2010-09-07,28.536096572875977
2010-09-08,28.975330352783203
2010-09-09,29.005123138427734
2010-09-10,29.19123649597168
2010-09-13,29.503923416137695
2010-09-14,29.58580780029297
2010-09-15,29.920820236206055
2010-09-16,29.71983528137207
2010-09-17,29.77937889099121
2010-09-20,30.2260684967041
2010-09-21,30.01761817932129
2010-09-22,29.742156982421875
2010-09-23,29.288013458251953
2010-09-24,30.054832458496094
2010-09-27,30.069725036621094
2010-09-28,30.196298599243164
