Date,Close,Volume
2010-01-04,20.061296463012695,3508400
2010-01-05,19.982770919799805,3246000
2010-01-06,20.04476547241211,4447200
2010-01-07,20.296878814697266,3864800
2010-01-08,20.379535675048828,2221600
2010-01-11,20.57377815246582,3271600
2010-01-12,20.48285484313965,3761000
2010-01-13,20.652311325073242,3205800
2010-01-14,20.623380661010742,3004000
2010-01-15,20.56551170349121,4555600
2010-01-19,20.66057777404785,3195800
2010-01-20,20.2679500579834,3143400
2010-01-21,22.123634338378906,17290600
2010-01-22,21.97484588623047,5699200
2010-01-25,21.97484588623047,4302400
2010-01-26,22.131900787353516,4617800
2010-01-27,22.169099807739258,3802800
2010-01-28,21.921123504638672,5303000
2010-01-29,21.706207275390625,5374800
2010-02-01,22.2352237701416,5915800
2010-02-02,23.144472122192383,7339800
2010-02-03,23.38004493713379,5416200
2010-02-04,23.078346252441406,5238000
2010-02-05,22.896499633789062,4525400
2010-02-08,23.00808334350586,4760600
2010-02-09,23.2477970123291,5144200
2010-02-10,23.169273376464844,3846200
2010-02-11,23.504039764404297,3272600
2010-02-12,23.41724395751953,3844800
2010-02-16,24.119842529296875,3086200
2010-02-17,24.326492309570312,2646800
2010-02-18,24.595138549804688,3067600
2010-02-19,24.314096450805664,2963200
2010-02-22,24.42154884338379,2258400
2010-02-23,24.243833541870117,2486000
2010-02-24,24.80178451538086,4780200
2010-02-25,25.033220291137695,4276800
2010-02-26,24.85137176513672,2507800
2010-03-01,25.690364837646484,6075200
2010-03-02,25.50438117980957,5706000
2010-03-03,25.285335540771484,2958400
2010-03-04,25.244007110595703,3211200
2010-03-05,25.483715057373047,2567800
2010-03-08,25.76475715637207,2747200
2010-03-09,25.479585647583008,2561000
2010-03-10,25.566377639770508,2232000
2010-03-11,26.116056442260742,3195600
2010-03-12,26.248306274414062,2061000
2010-03-15,26.082992553710938,3338000
2010-03-16,26.219375610351562,2054000
2010-03-17,26.42189598083496,1851200
2010-03-18,26.368162155151367,1728800
2010-03-19,26.091251373291016,2724200
2010-03-22,26.843454360961914,2954400
2010-03-23,26.988113403320312,1868200
2010-03-24,26.32269859313965,3276000
2010-03-25,26.198711395263672,2484400
2010-03-26,26.417757034301758,3380800
2010-03-29,26.897184371948242,2496600
2010-03-30,27.070768356323242,2883200
2010-03-31,26.810396194458008,2460000
2010-04-01,27.103836059570312,1948200
2010-04-05,26.760793685913086,3065600
2010-04-06,26.15325164794922,5862400
2010-04-07,26.23590660095215,3241600
2010-04-08,26.46735954284668,2405600
2010-04-09,27.054241180419922,2697000
2010-04-12,27.244348526000977,2290800
2010-04-13,27.215425491333008,3906000
2010-04-14,27.570852279663086,2440600
2010-04-15,27.777498245239258,2045000
2010-04-16,28.05854034423828,3693400
2010-04-19,27.864290237426758,3911200
2010-04-20,28.331321716308594,2682200
2010-04-21,27.951080322265625,4532400
2010-04-22,28.504892349243164,4611200
2010-04-23,28.723949432373047,2742800
2010-04-26,28.922330856323242,7463400
2010-04-27,27.715505599975586,12835400
2010-04-28,27.525392532348633,4337000
2010-04-29,27.364215850830078,4171000
2010-04-30,27.244348526000977,3263400
2010-05-03,27.331140518188477,3061200
2010-05-04,26.888914108276367,4738000
2010-05-05,25.954872131347656,6720200
2010-05-06,25.12415313720703,9160400
2010-05-07,24.190109252929688,8608600
2010-05-10,25.963138580322266,8139000
2010-05-11,26.095394134521484,5243600
2010-05-12,26.409496307373047,2848000
2010-05-13,26.120189666748047,3381600
2010-05-14,25.22747230529785,6037200
2010-05-17,25.529172897338867,5132200
2010-05-18,24.97536277770996,4971200
2010-05-19,24.830711364746094,3424200
2010-05-20,23.991724014282227,5638200
2010-05-21,24.34302520751953,4708000
2010-05-24,24.21490478515625,3284800
2010-05-25,23.7933406829834,4527400
2010-05-26,23.338720321655273,8316200
2010-05-27,24.2562313079834,4447200
2010-05-28,24.082645416259766,2989600
2010-06-01,23.93799591064453,4622800
2010-06-02,24.2562313079834,3403200
2010-06-03,24.595138549804688,3627000
2010-06-04,22.871694564819336,6274600
2010-06-07,22.685714721679688,7389200
2010-06-08,23.173397064208984,4683000
