Date,NTAP
2010-01-04,25.460712432861328
2010-01-05,25.013896942138672
2010-01-06,24.835172653198242
2010-01-07,24.775598526000977
2010-01-08,24.976665496826172
2010-01-11,24.529850006103516
2010-01-12,24.164958953857422
2010-01-13,25.118148803710938
2010-01-14,25.058578491210938
2010-01-15,24.686246871948242
2010-01-19,24.797941207885742
2010-01-20,24.202198028564453
2010-01-21,23.666019439697266
2010-01-22,22.921342849731445
2010-01-25,23.03304100036621
2010-01-26,23.018142700195312
2010-01-27,23.03304100036621
2010-01-28,22.206445693969727
2010-01-29,21.692609786987305
2010-02-01,22.422401428222656
2010-02-02,23.062828063964844
2010-02-03,23.10006332397461
2010-02-04,22.258573532104492
2010-02-05,22.623470306396484
2010-02-08,22.72772216796875
2010-02-09,23.092613220214844
2010-02-10,22.906448364257812
2010-02-11,23.487295150756836
2010-02-12,23.42772674560547
2010-02-16,24.053255081176758
2010-02-17,23.88942527770996
2010-02-18,23.591554641723633
2010-02-19,23.301128387451172
2010-02-22,22.81708335876465
2010-02-23,22.26601219177246
2010-02-24,22.213886260986328
2010-02-25,22.347942352294922
2010-02-26,22.347942352294922
2010-03-01,23.42772674560547
2010-03-02,23.152191162109375
2010-03-03,23.263891220092773
2010-03-04,23.35325050354004
2010-03-05,23.867088317871094
2010-03-08,24.209636688232422
2010-03-09,24.23943328857422
2010-03-10,24.708576202392578
2010-03-11,24.812835693359375
2010-03-12,24.50751304626465
2010-03-15,24.440494537353516
2010-03-16,24.716020584106445
2010-03-17,24.604326248168945
2010-03-18,24.797941207885742
2010-03-19,24.172405242919922
2010-03-22,24.529850006103516
2010-03-23,24.38091278076172
2010-03-24,24.701129913330078
2010-03-25,24.29155158996582
2010-03-26,24.37346839904785
2010-03-29,24.231979370117188
2010-03-30,24.25432014465332
2010-03-31,24.231979370117188
2010-04-01,25.512836456298828
2010-04-05,25.89262580871582
2010-04-06,25.937299728393555
2010-04-07,26.15325927734375
2010-04-08,25.944753646850586
2010-04-09,26.458585739135742
2010-04-12,26.01921844482422
2010-04-13,25.833044052124023
2010-04-14,26.704330444335938
2010-04-15,26.562843322753906
2010-04-16,26.175601959228516
2010-04-19,25.907516479492188
2010-04-20,25.818159103393555
2010-04-21,26.205385208129883
2010-04-22,26.32453727722168
2010-04-23,26.9351863861084
2010-04-26,26.726669311523438
2010-04-27,25.95220184326172
2010-04-28,26.458585739135742
2010-04-29,26.68943214416504
2010-04-30,25.818159103393555
2010-05-03,25.974546432495117
2010-05-04,25.334108352661133
2010-05-05,25.371353149414062
2010-05-06,24.58197784423828
2010-05-07,23.435169219970703
2010-05-10,25.2670841217041
2010-05-11,24.91708755493164
2010-05-12,25.3564510345459
2010-05-13,25.095813751220703
2010-05-14,25.133045196533203
2010-05-17,25.28943634033203
2010-05-18,24.976665496826172
2010-05-19,24.984119415283203
2010-05-20,24.24687385559082
2010-05-21,24.447935104370117
2010-05-24,24.127731323242188
2010-05-25,24.641555786132812
2010-05-26,24.150062561035156
2010-05-27,28.42453956604004
2010-05-28,28.059640884399414
2010-06-01,28.014965057373047
2010-06-02,29.005393981933594
2010-06-03,28.95327377319336
2010-06-04,28.208585739135742
2010-06-07,27.575603485107422
2010-06-08,27.84369468688965
2010-06-09,27.933053970336914
2010-06-10,28.662843704223633
2010-06-11,29.779865264892578
2010-06-14,29.727741241455078
2010-06-15,30.814971923828125
2010-06-16,30.531997680664062
2010-06-17,31.112844467163086
2010-06-18,30.69584083557129
2010-06-21,30.18199920654297
2010-06-22,29.616044998168945
2010-06-23,29.861778259277344
2010-06-24,29.504335403442383
2010-06-25,29.608577728271484
2010-06-28,29.630935668945312
2010-06-29,28.290502548217773
2010-06-30,27.78412437438965
2010-07-01,28.379865646362305
2010-07-02,27.65007209777832
2010-07-06,27.64262580871582
2010-07-07,29.48944091796875
2010-07-08,28.960721969604492
2010-07-09,28.863910675048828
2010-07-12,29.01284408569336
2010-07-13,29.459659576416016
2010-07-14,30.02561378479004
2010-07-15,30.330928802490234
2010-07-16,30.159656524658203
2010-07-19,30.54689598083496
2010-07-20,30.837326049804688
2010-07-21,29.66071319580078
2010-07-22,31.25434112548828
2010-07-23,32.10328674316406
2010-07-26,32.78837966918945
2010-07-27,32.57987594604492
2010-07-28,32.1479606628418
2010-07-29,31.589439392089844
2010-07-30,31.500085830688477
2010-08-02,32.76604461669922
2010-08-03,32.66923141479492
2010-08-04,33.235206604003906
2010-08-05,32.55754470825195
2010-08-06,32.10328674316406
2010-08-09,31.9543399810791
2010-08-10,31.04582977294922
2010-08-11,30.65859031677246
2010-08-12,27.985197067260742
2010-08-13,28.402210235595703
2010-08-16,28.774539947509766
2010-08-17,28.78199577331543
2010-08-18,29.280933380126953
2010-08-19,30.308591842651367
2010-08-20,30.18199920654297
2010-08-23,30.122425079345703
2010-08-24,29.42987823486328
2010-08-25,29.26603889465332
2010-08-26,29.556459426879883
2010-08-27,30.867103576660156
2010-08-30,30.18199920654297
2010-08-31,30.070301055908203
2010-09-01,31.20966339111328
2010-09-02,32.07349395751953
2010-09-03,32.80329513549805
2010-09-07,33.34689712524414
2010-09-08,34.575618743896484
2010-09-09,34.50115966796875
2010-09-10,34.50115966796875
2010-09-13,35.81924057006836
2010-09-14,35.834136962890625
2010-09-15,36.71287155151367
2010-09-16,36.25115966796875
2010-09-17,36.51926040649414
2010-09-20,36.98838424682617
2010-09-21,35.89372253417969
2010-09-22,36.079898834228516
2010-09-23,35.960723876953125
2010-09-24,37.52457809448242
2010-09-27,36.77988815307617
2010-09-28,37.97883224487305
