Date,APH
2013-02-11,7.815314769744873
2013-02-12,7.814210414886475
2013-02-13,7.782020568847656
2013-02-14,7.780904769897461
2013-02-15,7.816423416137695
2013-02-19,7.868595123291016
2013-02-20,7.713199615478516
2013-02-21,7.6898908615112305
2013-02-22,7.858608722686768
2013-02-25,7.6776814460754395
2013-02-26,7.779801368713379
2013-02-27,7.8452863693237305
2013-02-28,7.865264892578125
2013-03-01,7.959611415863037
2013-03-04,7.988475322723389
2013-03-05,8.05617904663086
2013-03-06,8.079488754272461
2013-03-07,8.049520492553711
2013-03-08,8.129437446594238
2013-03-11,8.12888240814209
2013-03-12,8.076642036437988
2013-03-13,8.103315353393555
2013-03-14,8.142223358154297
2013-03-15,8.046626091003418
2013-03-18,8.055517196655273
2013-03-19,8.042181968688965
2013-03-20,8.132217407226562
2013-03-21,8.08664608001709
2013-03-22,8.138888359069824
2013-03-25,8.069972038269043
2013-03-26,8.135552406311035
2013-03-27,8.13110637664795
2013-03-28,8.297842979431152
2013-04-01,8.172236442565918
2013-04-02,8.193353652954102
2013-04-03,8.150006294250488
2013-04-04,8.14000129699707
2013-04-05,8.008837699890137
2013-04-08,8.118880271911621
2013-04-09,8.114435195922852
2013-04-10,8.265604972839355
2013-04-11,8.311177253723145
2013-04-12,8.168902397155762
2013-04-15,7.947699069976807
2013-04-16,8.171122550964355
2013-04-17,8.032176971435547
2013-04-18,8.028843879699707
2013-04-19,8.089980125427246
2013-04-22,8.203359603881836
2013-04-23,8.223367691040039
2013-04-24,8.266716957092285
2013-04-25,8.36898136138916
2013-04-26,8.258935928344727
2013-04-29,8.325630187988281
2013-04-30,8.394547462463379
2013-05-01,8.395661354064941
2013-05-02,8.424558639526367
2013-05-03,8.57684326171875
2013-05-06,8.57684326171875
2013-05-07,8.657988548278809
2013-05-08,8.66799259185791
2013-05-09,8.698006629943848
2013-05-10,8.924763679504395
2013-05-13,8.874743461608887
2013-05-14,8.98367691040039
2013-05-15,9.043701171875
2013-05-16,9.050370216369629
2013-05-17,9.258234024047852
2013-05-20,9.107059478759766
2013-05-21,9.00368595123291
2013-05-22,8.630202293395996
2013-05-23,8.670217514038086
2013-05-24,8.708008766174316
2013-05-28,8.742470741271973
2013-05-29,8.695782661437988
2013-05-30,8.720239639282227
2013-05-31,8.659101486206055
2013-06-03,8.748026847839355
2013-06-04,8.639093399047852
2013-06-05,8.530160903930664
2013-06-06,8.589072227478027
2013-06-07,8.639093399047852
2013-06-10,8.661911964416504
2013-06-11,8.542815208435059
2013-06-12,8.469350814819336
2013-06-13,8.575092315673828
2013-06-14,8.48159408569336
2013-06-17,8.793251991271973
2013-06-18,8.824416160583496
2013-06-19,8.711996078491211
2013-06-20,8.415918350219727
2013-06-21,8.502739906311035
2013-06-24,8.343573570251465
2013-06-25,8.502739906311035
2013-06-26,8.628519058227539
2013-06-27,8.840002059936523
2013-06-28,8.675267219543457
2013-07-01,8.73759937286377
2013-07-02,8.734258651733398
2013-07-03,8.782124519348145
2013-07-05,8.932388305664062
2013-07-08,8.957988739013672
2013-07-09,9.099348068237305
2013-07-10,9.208430290222168
2013-07-11,9.475564002990723
2013-07-12,9.50339412689209
2013-07-15,9.452189445495605
2013-07-16,9.380950927734375
2013-07-17,9.413233757019043
2013-07-18,8.498287200927734
2013-07-19,8.546152114868164
2013-07-22,8.7387113571167
2013-07-23,8.673044204711914
2013-07-24,8.671927452087402
2013-07-25,8.629629135131836
2013-07-26,8.627405166625977
2013-07-29,8.611825942993164
2013-07-30,8.678606986999512
2013-07-31,8.744277954101562
2013-08-01,8.890090942382812
2013-08-02,8.80327033996582
2013-08-05,8.834433555603027
2013-08-06,8.765423774719238
2013-08-07,8.620726585388184
2013-08-08,8.621838569641113
2013-08-09,8.634085655212402
2013-08-12,8.625178337097168
2013-08-13,8.61404800415039
2013-08-14,8.548377990722656
2013-08-15,8.358040809631348
2013-08-16,8.324650764465332
2013-08-19,8.25007438659668
2013-08-20,8.40701961517334
2013-08-21,8.411469459533691
2013-08-22,8.661911964416504
2013-08-23,8.659684181213379
2013-08-26,8.575092315673828
2013-08-27,8.366948127746582
2013-08-28,8.469350814819336
2013-08-29,8.498287200927734
2013-08-30,8.433730125427246
2013-09-03,8.386981964111328
2013-09-04,8.499403953552246
2013-09-05,8.418146133422852
2013-09-06,8.364721298217773
2013-09-09,8.504226684570312
2013-09-10,8.707345962524414
2013-09-11,8.717389106750488
2013-09-12,8.674979209899902
2013-09-13,8.625876426696777
2013-09-16,8.714043617248535
2013-09-17,8.71850872039795
2013-09-18,8.743060111999512
2013-09-19,8.781004905700684
2013-09-20,8.56672477722168
2013-09-23,8.638151168823242
2013-09-24,8.630337715148926
2013-09-25,8.681676864624023
2013-09-26,8.702880859375
2013-09-27,8.65377426147461
2013-09-30,8.635920524597168
2013-10-01,8.662704467773438
2013-10-02,8.654892921447754
2013-10-03,8.509803771972656
2013-10-04,8.536589622497559
2013-10-07,8.460700988769531
2013-10-08,8.351326942443848
2013-10-09,8.447306632995605
2013-10-10,8.501994132995605
2013-10-11,8.599092483520508
2013-10-14,8.604668617248535
2013-10-15,8.643728256225586
2013-10-16,8.822298049926758
2013-10-17,9.053317070007324
2013-10-18,9.188360214233398
2013-10-21,9.18947696685791
2013-10-22,9.150411605834961
2013-10-23,9.102423667907715
2013-10-24,9.07228946685791
2013-10-25,9.070059776306152
2013-10-28,9.009796142578125
2013-10-29,9.033227920532227
2013-10-30,8.975193977355957
2013-10-31,8.960687637329102
2013-11-01,8.920507431030273
2013-11-04,8.960687637329102
2013-11-05,8.90600299835205
2013-11-06,9.026535034179688
2013-11-07,8.958454132080078
2013-11-08,9.077868461608887
2013-11-11,9.049972534179688
2013-11-12,9.081218719482422
2013-11-13,9.11693286895752
2013-11-14,9.231884002685547
2013-11-15,9.38589859008789
2013-11-18,9.461787223815918
2013-11-19,9.44616413116455
2013-11-20,9.476301193237305
2013-11-21,9.485227584838867
2013-11-22,9.498617172241211
2013-11-25,9.491923332214355
2013-11-26,9.48634147644043
2013-11-27,9.487458229064941
2013-11-29,9.48634147644043
2013-12-02,9.491923332214355
2013-12-03,9.524287223815918
2013-12-04,9.504199981689453
2013-12-05,9.489691734313965
2013-12-06,9.61021900177002
2013-12-09,9.686286926269531
2013-12-10,9.673985481262207
2013-12-11,9.502830505371094
2013-12-12,9.515138626098633
2013-12-13,9.526327133178711
2013-12-16,9.625883102416992
2013-12-17,9.656086921691895
2013-12-18,9.755643844604492
2013-12-19,9.735514640808105
2013-12-20,9.821646690368652
2013-12-23,9.831714630126953
2013-12-24,9.865270614624023
2013-12-26,9.892120361328125
2013-12-27,9.874223709106445
2013-12-30,9.923442840576172
2013-12-31,9.97601318359375
2014-01-02,9.814932823181152
2014-01-03,9.850727081298828
2014-01-06,9.760119438171387
2014-01-07,9.826120376586914
2014-01-08,9.880935668945312
2014-01-09,10.002863883972168
2014-01-10,9.993914604187012
2014-01-13,9.977133750915527
2014-01-14,10.3373384475708
2014-01-15,10.297067642211914
2014-01-16,10.276935577392578
2014-01-17,10.300424575805664
2014-01-21,10.184085845947266
2014-01-22,10.18743896484375
2014-01-23,9.898829460144043
2014-01-24,9.607987403869629
2014-01-27,9.54646110534668
2014-01-28,9.630358695983887
2014-01-29,9.578899383544922
2014-01-30,9.695237159729004
2014-01-31,9.718729019165039
2014-02-03,9.472631454467773
2014-02-04,9.503951072692871
2014-02-05,9.545339584350586
2014-02-06,9.69859504699707
2014-02-07,9.772419929504395
2014-02-10,9.735514640808105
2014-02-11,9.839546203613281
2014-02-12,9.87533950805664
2014-02-13,9.904424667358398
2014-02-14,9.874223709106445
2014-02-18,9.93910026550293
2014-02-19,9.90554141998291
2014-02-20,9.950286865234375
2014-02-21,9.861915588378906
2014-02-24,9.945816040039062
2014-02-25,9.880935668945312
2014-02-26,9.741103172302246
2014-02-27,9.798151016235352
2014-02-28,9.846248626708984
2014-03-03,9.81940746307373
2014-03-04,10.065509796142578
2014-03-05,9.989442825317383
2014-03-06,10.095710754394531
2014-03-07,10.113611221313477
2014-03-10,10.145004272460938
2014-03-11,10.072124481201172
2014-03-12,10.152848243713379
2014-03-13,10.115852355957031
2014-03-14,10.145004272460938
2014-03-17,10.229084014892578
2014-03-18,10.286260604858398
2014-03-19,10.217876434326172
2014-03-20,10.277295112609863
2014-03-21,10.454426765441895
2014-03-24,10.370345115661621
2014-03-25,10.395010948181152
2014-03-26,10.254868507385254
2014-03-27,10.177513122558594
2014-03-28,10.271688461303711
2014-03-31,10.27505111694336
2014-04-01,10.338956832885742
2014-04-02,10.5385160446167
2014-04-03,10.509366035461426
2014-04-04,10.395010948181152
2014-04-07,10.254868507385254
2014-04-08,10.282893180847168
2014-04-09,10.442099571228027
2014-04-10,10.207781791687012
2014-04-11,10.14948558807373
2014-04-14,10.226841926574707
2014-04-15,10.242541313171387
2014-04-16,10.469006538391113
2014-04-17,10.551965713500977
2014-04-21,10.578874588012695
2014-04-22,10.651747703552246
2014-04-23,10.710044860839844
2014-04-24,10.798614501953125
2014-04-25,10.61811351776123
2014-04-28,10.620357513427734
2014-04-29,10.649503707885742
2014-04-30,10.689863204956055
2014-05-01,10.799734115600586
2014-05-02,10.733587265014648
2014-05-05,10.823278427124023
2014-05-06,10.686501502990723
2014-05-07,10.725740432739258
2014-05-08,10.707802772521973
2014-05-09,10.762736320495605
2014-05-12,10.833366394042969
2014-05-13,10.776191711425781
2014-05-14,10.714529037475586
2014-05-15,10.628203392028809
2014-05-16,10.705556869506836
2014-05-19,10.736948013305664
2014-05-20,10.605778694152832
2014-05-21,10.667442321777344
2014-05-22,10.698834419250488
2014-05-23,10.73022747039795
2014-05-27,10.706682205200195
2014-05-28,10.685379028320312
2014-05-29,10.753769874572754
2014-05-30,10.740315437316895
2014-06-02,10.855790138244629
2014-06-03,10.8154296875
2014-06-04,10.773947715759277
2014-06-05,10.860272407531738
2014-06-06,10.940993309020996
2014-06-09,11.031990051269531
2014-06-10,10.97132682800293
2014-06-11,11.01626205444336
2014-06-12,10.898303985595703
2014-06-13,10.876961708068848
2014-06-16,10.838765144348145
2014-06-17,10.869095802307129
2014-06-18,10.89717960357666
2014-06-19,10.943243980407715
2014-06-20,10.951104164123535
2014-06-23,10.908414840698242
2014-06-24,10.803937911987305
2014-06-25,10.799443244934082
2014-06-26,10.736532211303711
2014-06-27,10.815174102783203
2014-06-30,10.823033332824707
2014-07-01,10.936498641967773
2014-07-02,10.91965103149414
2014-07-03,10.989301681518555
2014-07-07,10.990425109863281
2014-07-08,10.973572731018066
2014-07-09,10.928638458251953
2014-07-10,10.85898208618164
2014-07-11,10.851120948791504
2014-07-14,10.89268684387207
2014-07-15,10.841010093688965
2014-07-16,10.841010093688965
2014-07-17,10.634300231933594
2014-07-18,10.826406478881836
2014-07-21,10.823033332824707
2014-07-22,10.920772552490234
2014-07-23,10.894935607910156
2014-07-24,10.976941108703613
2014-07-25,10.96458625793457
2014-07-28,10.965707778930664
2014-07-29,10.916279792785645
2014-07-30,10.943243980407715
2014-07-31,10.803937911987305
2014-08-01,10.809554100036621
2014-08-04,10.915156364440918
2014-08-05,10.938745498657227
2014-08-06,10.989301681518555
2014-08-07,10.946612358093262
2014-08-08,11.07580280303955
2014-08-11,11.147701263427734
2014-08-12,11.21735668182373
2014-08-13,11.237577438354492
2014-08-14,11.335314750671387
2014-08-15,11.2780179977417
2014-08-18,11.435301780700684
2014-08-19,11.48023509979248
2014-08-20,11.48697566986084
2014-08-21,11.726263999938965
2014-08-22,11.66672420501709
2014-08-25,11.719525337219238
2014-08-26,11.658857345581055
2014-08-27,11.62852954864502
2014-08-28,11.615046501159668
2014-08-29,11.572357177734375
2014-09-02,11.717281341552734
2014-09-03,11.700429916381836
2014-09-04,11.675712585449219
2014-09-05,11.69705867767334
2014-09-08,11.72070598602295
2014-09-09,11.648634910583496
2014-09-10,11.644125938415527
2014-09-11,11.761247634887695
2014-09-12,11.736471176147461
2014-09-15,11.668899536132812
2014-09-16,11.710570335388184
2014-09-17,11.763497352600098
2014-09-18,11.860345840454102
2014-09-19,11.70268440246582
2014-09-22,11.6632719039917
2014-09-23,11.465070724487305
2014-09-24,11.50223445892334
2014-09-25,11.341200828552246
2014-09-26,11.466198921203613
2014-09-29,11.468451499938965
2014-09-30,11.24548053741455
2014-10-01,11.047282218933105
2014-10-02,11.117103576660156
2014-10-03,11.191424369812012
2014-10-06,11.14863395690918
2014-10-07,11.00674057006836
2014-10-08,11.239848136901855
2014-10-09,11.112594604492188
2014-10-10,10.292780876159668
2014-10-13,10.261250495910645
2014-10-14,10.459444046020508
2014-10-15,10.601340293884277
2014-10-16,10.63061809539795
2014-10-17,10.817554473876953
2014-10-20,10.869356155395508
2014-10-21,11.186919212341309
2014-10-22,10.612598419189453
2014-10-23,10.8130521774292
2014-10-24,10.997735977172852
2014-10-27,10.89413070678711
2014-10-28,11.087820053100586
2014-10-29,11.078815460205078
2014-10-30,11.146378517150879
2014-10-31,11.391875267028809
2014-11-03,11.351337432861328
2014-11-04,11.25674057006836
2014-11-05,11.400884628295898
2014-11-06,11.495479583740234
2014-11-07,11.47746467590332
2014-11-10,11.414397239685059
2014-11-11,11.443680763244629
2014-11-12,11.547281265258789
2014-11-13,11.42115592956543
2014-11-14,11.454936981201172
2014-11-17,11.448182106018066
2014-11-18,11.610344886779785
2014-11-19,11.605840682983398
2014-11-20,11.565299034118652
