Date,V
2010-01-04,19.684566497802734
2010-01-05,19.459009170532227
2010-01-06,19.197704315185547
2010-01-07,19.37637710571289
2010-01-08,19.429962158203125
2010-01-11,19.3741397857666
2010-01-12,19.282567977905273
2010-01-13,19.46123695373535
2010-01-14,19.528244018554688
2010-01-15,19.237897872924805
2010-01-19,19.619792938232422
2010-01-20,19.523773193359375
2010-01-21,18.86046600341797
2010-01-22,18.476341247558594
2010-01-25,18.31999969482422
2010-01-26,18.123476028442383
2010-01-27,18.739879608154297
2010-01-28,18.45846939086914
2010-01-29,18.31999969482422
2010-02-01,18.684030532836914
2010-02-02,18.76220703125
2010-02-03,18.652772903442383
2010-02-04,18.547805786132812
2010-02-05,18.43836784362793
2010-02-08,18.547805786132812
2010-02-09,18.59693145751953
2010-02-10,18.70765495300293
2010-02-11,19.04315757751465
2010-02-12,18.962631225585938
2010-02-16,19.208675384521484
2010-02-17,19.329450607299805
2010-02-18,19.450237274169922
2010-02-19,19.41668128967285
2010-02-22,19.439054489135742
2010-02-23,19.262351989746094
2010-02-24,19.15275764465332
2010-02-25,19.06328582763672
2010-02-26,19.0744686126709
2010-03-01,19.418920516967773
2010-03-02,19.336166381835938
2010-03-03,19.414447784423828
2010-03-04,19.4681339263916
2010-03-05,19.79692268371582
2010-03-08,20.271095275878906
2010-03-09,20.163738250732422
2010-03-10,20.470169067382812
2010-03-11,20.743045806884766
2010-03-12,20.857118606567383
2010-03-15,20.669225692749023
2010-03-16,20.49924659729004
2010-03-17,20.467926025390625
2010-03-18,20.159255981445312
2010-03-19,19.8707218170166
2010-03-22,19.96019172668457
2010-03-23,20.125709533691406
2010-03-24,19.850605010986328
2010-03-25,20.221895217895508
2010-03-26,20.186107635498047
2010-03-29,20.18386459350586
2010-03-30,20.35385513305664
2010-03-31,20.360570907592773
2010-04-01,20.700544357299805
2010-04-05,20.68263816833496
2010-04-06,20.6669979095459
2010-04-07,20.288990020751953
2010-04-08,20.463455200195312
2010-04-09,20.693832397460938
2010-04-12,20.843690872192383
2010-04-13,20.754220962524414
2010-04-14,21.08302116394043
2010-04-15,21.125507354736328
2010-04-16,20.99130630493164
2010-04-19,20.828033447265625
2010-04-20,21.03605079650879
2010-04-21,20.830270767211914
2010-04-22,21.27983856201172
2010-04-23,21.604164123535156
2010-04-26,21.472196578979492
2010-04-27,20.790000915527344
2010-04-28,20.93762969970703
2010-04-29,20.76093292236328
2010-04-30,20.18162727355957
2010-05-03,19.96690559387207
2010-05-04,19.76561164855957
2010-05-05,19.33168601989746
2010-05-06,18.546615600585938
2010-05-07,18.405702590942383
2010-05-10,19.233274459838867
2010-05-11,18.823959350585938
2010-05-12,19.192447662353516
2010-05-13,19.20363426208496
2010-05-14,17.30634880065918
2010-05-17,16.735151290893555
2010-05-18,15.700261116027832
2010-05-19,16.345382690429688
2010-05-20,16.31178855895996
2010-05-21,16.620906829833984
2010-05-24,16.699310302734375
2010-05-25,16.345382690429688
2010-05-26,16.44171142578125
2010-05-27,16.50665855407715
2010-05-28,16.231149673461914
2010-06-01,16.01386070251465
2010-06-02,15.960104942321777
2010-06-03,16.316265106201172
2010-06-04,16.157222747802734
2010-06-07,16.103466033935547
2010-06-08,16.43050193786621
2010-06-09,16.53131103515625
2010-06-10,17.34891128540039
2010-06-11,17.042028427124023
2010-06-14,16.52682876586914
2010-06-15,17.23242950439453
2010-06-16,17.28618621826172
2010-06-17,17.525875091552734
2010-06-18,17.25706672668457
2010-06-21,18.12171745300293
2010-06-22,17.642345428466797
2010-06-23,17.418352127075195
2010-06-24,17.13163185119629
2010-06-25,17.17194938659668
2010-06-28,16.849390029907227
2010-06-29,16.004899978637695
2010-06-30,15.848105430603027
2010-07-01,16.32074737548828
2010-07-02,16.392436981201172
2010-07-06,16.1885929107666
2010-07-07,16.759784698486328
2010-07-08,16.818025588989258
2010-07-09,17.33323097229004
2010-07-12,17.138355255126953
2010-07-13,17.15627098083496
2010-07-14,17.086828231811523
2010-07-15,16.86283302307129
2010-07-16,16.004899978637695
2010-07-19,15.953386306762695
2010-07-20,16.48650550842285
2010-07-21,16.208744049072266
2010-07-22,16.679147720336914
2010-07-23,16.932266235351562
2010-07-26,17.042028427124023
2010-07-27,17.160749435424805
2010-07-28,16.84043312072754
2010-07-29,16.123620986938477
2010-07-30,16.43050193786621
2010-08-02,16.17963218688965
2010-08-03,16.352108001708984
2010-08-04,16.228904724121094
2010-08-05,16.016103744506836
2010-08-06,16.159467697143555
2010-08-09,16.741863250732422
2010-08-10,16.8605899810791
2010-08-11,16.493728637695312
2010-08-12,16.37482261657715
2010-08-13,16.204294204711914
2010-08-16,16.341157913208008
2010-08-17,16.460081100463867
2010-08-18,16.352380752563477
2010-08-19,16.071914672851562
2010-08-20,15.728625297546387
2010-08-23,15.733107566833496
2010-08-24,15.854268074035645
2010-08-25,15.899147033691406
2010-08-26,15.68598747253418
2010-08-27,15.955239295959473
2010-08-30,15.602972030639648
2010-08-31,15.477323532104492
2010-09-01,15.825104713439941
2010-09-02,16.15044403076172
2010-09-03,16.267120361328125
2010-09-07,16.04274559020996
2010-09-08,15.380843162536621
2010-09-09,14.983701705932617
2010-09-10,15.277633666992188
2010-09-13,14.6920166015625
2010-09-14,15.059989929199219
2010-09-15,15.466110229492188
2010-09-16,15.342698097229004
2010-09-17,15.3673734664917
2010-09-20,15.775740623474121
2010-09-21,15.69272232055664
2010-09-22,15.84529972076416
2010-09-23,15.926077842712402
2010-09-24,16.237951278686523
2010-09-27,16.379310607910156
2010-09-28,16.43988609313965
