Date,EMN
2010-01-04,19.880678176879883
2010-01-05,19.6263370513916
2010-01-06,19.49432373046875
2010-01-07,19.542627334594727
2010-01-08,19.594139099121094
2010-01-11,19.603801727294922
2010-01-12,19.397748947143555
2010-01-13,19.82594871520996
2010-01-14,19.542627334594727
2010-01-15,19.452476501464844
2010-01-19,19.900001525878906
2010-01-20,19.616676330566406
2010-01-21,18.914812088012695
2010-01-22,18.483402252197266
2010-01-25,18.708763122558594
2010-01-26,18.576770782470703
2010-01-27,18.69266700744629
2010-01-28,18.34495735168457
2010-01-29,18.2000789642334
2010-02-01,19.307598114013672
2010-02-02,19.19169807434082
2010-02-03,19.088668823242188
2010-02-04,18.50593376159668
2010-02-05,18.557451248168945
2010-02-08,18.219390869140625
2010-02-09,18.628278732299805
2010-02-10,18.464080810546875
2010-02-11,18.62183380126953
2010-02-12,18.67013931274414
2010-02-16,19.10154914855957
2010-02-17,19.091890335083008
2010-02-18,19.27219009399414
2010-02-19,19.323699951171875
2010-02-22,19.40418815612793
2010-02-23,18.998523712158203
2010-02-24,19.178823471069336
2010-02-25,19.120864868164062
2010-02-26,19.172378540039062
2010-03-01,19.33658218383789
2010-03-02,19.487899780273438
2010-03-03,19.655315399169922
2010-03-04,19.722925186157227
2010-03-05,19.880678176879883
2010-03-08,19.880678176879883
2010-03-09,19.777660369873047
2010-03-10,19.82594871520996
2010-03-11,20.043212890625
2010-03-12,20.08212661743164
2010-03-15,19.96214485168457
2010-03-16,20.176162719726562
2010-03-17,20.468002319335938
2010-03-18,20.2215576171875
2010-03-19,19.84864616394043
2010-03-22,20.292905807495117
2010-03-23,20.383691787719727
2010-03-24,20.55231285095215
2010-03-25,20.412883758544922
2010-03-26,20.549070358276367
2010-03-29,20.750120162963867
2010-03-30,20.866857528686523
2010-03-31,20.649600982666016
2010-04-01,21.067901611328125
2010-04-05,21.47001075744629
2010-04-06,21.327327728271484
2010-04-07,21.353271484375
2010-04-08,21.343530654907227
2010-04-09,21.693750381469727
2010-04-12,21.40838623046875
2010-04-13,21.350017547607422
2010-04-14,21.52837371826172
2010-04-15,21.632143020629883
2010-04-16,21.1749210357666
2010-04-19,21.25922966003418
2010-04-20,21.573762893676758
2010-04-21,21.625652313232422
2010-04-22,21.76508903503418
2010-04-23,23.062175750732422
2010-04-26,22.342296600341797
2010-04-27,21.859128952026367
2010-04-28,22.086116790771484
2010-04-29,22.24501609802246
2010-04-30,21.700231552124023
2010-05-03,21.878578186035156
2010-05-04,21.213834762573242
2010-05-05,21.15221405029297
2010-05-06,20.3480224609375
2010-05-07,19.99131965637207
2010-05-10,21.22031593322754
2010-05-11,20.944677352905273
2010-05-12,21.560794830322266
2010-05-13,21.028993606567383
2010-05-14,20.357751846313477
2010-05-17,20.513395309448242
2010-05-18,20.26695442199707
2010-05-19,19.88107681274414
2010-05-20,18.85637664794922
2010-05-21,19.3135929107666
2010-05-24,19.080120086669922
2010-05-25,19.167680740356445
2010-05-26,19.015268325805664
2010-05-27,20.007535934448242
2010-05-28,19.582738876342773
2010-06-01,18.905010223388672
2010-06-02,19.667057037353516
2010-06-03,19.55356216430664
2010-06-04,18.541831970214844
2010-06-07,18.421855926513672
2010-06-08,18.833677291870117
2010-06-09,18.849895477294922
2010-06-10,19.480504989624023
2010-06-11,19.8366641998291
2010-06-14,19.732097625732422
2010-06-15,20.245094299316406
2010-06-16,20.27777099609375
2010-06-17,20.078453063964844
2010-06-18,20.47707748413086
2010-06-21,20.375789642333984
2010-06-22,19.90201187133789
2010-06-23,19.601408004760742
2010-06-24,18.977327346801758
2010-06-25,18.94464683532715
2010-06-28,18.6440486907959
2010-06-29,17.96114730834961
2010-06-30,17.435083389282227
2010-07-01,17.333797454833984
2010-07-02,17.010316848754883
2010-07-06,16.86981964111328
2010-07-07,17.699752807617188
2010-07-08,18.376115798950195
2010-07-09,18.402252197265625
2010-07-12,18.12125587463379
2010-07-13,18.62444305419922
2010-07-14,18.40878677368164
2010-07-15,18.307497024536133
2010-07-16,17.712818145751953
2010-07-19,17.480831146240234
2010-07-20,17.64093589782715
2010-07-21,18.19313621520996
2010-07-22,18.80087661743164
2010-07-23,19.26811981201172
2010-07-26,19.558927536010742
2010-07-27,19.473974227905273
2010-07-28,19.480504989624023
2010-07-29,19.526254653930664
2010-07-30,20.46727752685547
2010-08-02,20.846296310424805
2010-08-03,20.767881393432617
2010-08-04,20.89531135559082
2010-08-05,20.807092666625977
2010-08-06,20.807092666625977
2010-08-09,20.934518814086914
2010-08-10,20.643712997436523
2010-08-11,19.90528106689453
2010-08-12,19.817062377929688
2010-08-13,19.647146224975586
2010-08-16,19.794189453125
2010-08-17,20.375789642333984
2010-08-18,20.336580276489258
2010-08-19,19.81052017211914
2010-08-20,19.911808013916016
2010-08-23,19.719038009643555
2010-08-24,19.264860153198242
2010-08-25,19.30080223083496
2010-08-26,19.496849060058594
2010-08-27,19.970624923706055
2010-08-30,19.660215377807617
2010-08-31,20.111129760742188
2010-09-01,20.993331909179688
2010-09-02,20.960657119750977
2010-09-03,21.538999557495117
2010-09-07,21.110965728759766
2010-09-08,21.25800132751465
2010-09-09,21.554061889648438
2010-09-10,21.43235206604004
2010-09-13,22.20543098449707
2010-09-14,22.063976287841797
2010-09-15,22.017915725708008
2010-09-16,22.83047103881836
2010-09-17,23.050880432128906
2010-09-20,23.471960067749023
2010-09-21,23.409465789794922
2010-09-22,23.46866798400879
2010-09-23,23.376562118530273
2010-09-24,23.929227828979492
2010-09-27,23.837114334106445
2010-09-28,24.16937255859375
