Date,STLD
2010-01-04,12.787992477416992
2010-01-05,12.711080551147461
2010-01-06,13.63399600982666
2010-01-07,13.543107032775879
2010-01-08,14.116430282592773
2010-01-11,13.675950050354004
2010-01-12,13.340341567993164
2010-01-13,13.130590438842773
2010-01-14,12.885876655578613
2010-01-15,12.592222213745117
2010-01-19,12.571242332458496
2010-01-20,12.214666366577148
2010-01-21,11.676298141479492
2010-01-22,11.466544151306152
2010-01-25,11.396626472473145
2010-01-26,11.22182846069336
2010-01-27,11.200854301452637
2010-01-28,10.900205612182617
2010-01-29,10.613543510437012
2010-02-01,11.242805480957031
2010-02-02,11.438573837280273
2010-02-03,11.130937576293945
2010-02-04,10.340862274169922
2010-02-05,10.48069953918457
2010-02-08,10.382813453674316
2010-02-09,10.788333892822266
2010-02-10,10.529642105102539
2010-02-11,10.991098403930664
2010-02-12,11.158905029296875
2010-02-16,11.466544151306152
2010-02-17,11.340689659118652
2010-02-18,11.655319213867188
2010-02-19,11.697267532348633
2010-02-22,11.746216773986816
2010-02-23,11.249795913696289
2010-02-24,11.32670783996582
2010-02-25,11.25678825378418
2010-02-26,11.417600631713867
2010-03-01,11.662314414978027
2010-03-02,11.760201454162598
2010-03-03,11.907025337219238
2010-03-04,12.0119047164917
2010-03-05,12.256608963012695
2010-03-08,12.557259559631348
2010-03-09,12.396445274353027
2010-03-10,12.501324653625488
2010-03-11,12.424421310424805
2010-03-12,12.536287307739258
2010-03-15,12.452388763427734
2010-03-16,12.7320556640625
2010-03-17,12.571242332458496
2010-03-18,12.333521842956543
2010-03-19,12.158732414245605
2010-03-22,12.263603210449219
2010-03-23,12.585227966308594
2010-03-24,12.354499816894531
2010-03-25,12.025888442993164
2010-03-26,12.116779327392578
2010-03-29,12.429265975952148
2010-03-30,12.267756462097168
2010-03-31,12.267756462097168
2010-04-01,12.436285018920898
2010-04-05,12.941885948181152
2010-04-06,13.103398323059082
2010-04-07,12.675041198730469
2010-04-08,12.61184024810791
2010-04-09,12.576730728149414
2010-04-12,12.63290786743164
2010-04-13,12.527575492858887
2010-04-14,12.927840232849121
2010-04-15,12.639932632446289
2010-04-16,12.30286979675293
2010-04-19,12.30286979675293
2010-04-20,11.965805053710938
2010-04-21,11.670873641967773
2010-04-22,11.713003158569336
2010-04-23,11.755134582519531
2010-04-26,11.741090774536133
2010-04-27,11.1793212890625
2010-04-28,11.291677474975586
2010-04-29,11.333805084228516
2010-04-30,11.038872718811035
2010-05-03,11.045893669128418
2010-05-04,10.540298461914062
2010-05-05,10.86331844329834
2010-05-06,10.519231796264648
2010-05-07,10.44198989868164
2010-05-10,11.038872718811035
2010-05-11,10.596477508544922
2010-05-12,10.779052734375
2010-05-13,11.15123176574707
2010-05-14,10.70180606842041
2010-05-17,10.434967041015625
2010-05-18,10.182167053222656
2010-05-19,10.055764198303223
2010-05-20,9.52910327911377
2010-05-21,9.838078498840332
2010-05-24,9.725726127624512
2010-05-25,9.908302307128906
2010-05-26,9.80296802520752
2010-05-27,10.491141319274902
2010-05-28,10.301547050476074
2010-06-01,9.732744216918945
2010-06-02,10.336658477783203
2010-06-03,10.413898468017578
2010-06-04,9.978522300720215
2010-06-07,9.922348022460938
2010-06-08,9.711679458618164
2010-06-09,9.662525177001953
2010-06-10,9.957456588745117
2010-06-11,10.027679443359375
2010-06-14,10.09789752960205
2010-06-15,10.343676567077637
2010-06-16,9.978522300720215
2010-06-17,9.73976993560791
2010-06-18,9.809992790222168
2010-06-21,9.908302307128906
2010-06-22,9.718705177307129
2010-06-23,9.908302307128906
2010-06-24,9.732744216918945
2010-06-25,9.887239456176758
2010-06-28,9.820164680480957
2010-06-29,9.347160339355469
2010-06-30,9.311863899230957
2010-07-01,9.27656364440918
2010-07-02,9.198904991149902
2010-07-06,9.509535789489746
2010-07-07,9.926065444946289
2010-07-08,10.222575187683105
2010-07-09,10.448490142822266
2010-07-12,10.264933586120605
2010-07-13,10.476725578308105
2010-07-14,10.377887725830078
2010-07-15,10.34259033203125
2010-07-16,10.03195858001709
2010-07-19,9.883705139160156
2010-07-20,10.074323654174805
2010-07-21,9.961362838745117
2010-07-22,10.32141399383545
2010-07-23,10.497910499572754
2010-07-26,10.582624435424805
2010-07-27,10.081379890441895
2010-07-28,10.116681098937988
2010-07-29,10.15197467803955
2010-07-30,10.10961627960205
2010-08-02,10.392013549804688
2010-08-03,10.286109924316406
2010-08-04,10.632040977478027
2010-08-05,10.547324180603027
2010-08-06,10.582624435424805
2010-08-09,10.632040977478027
2010-08-10,10.413187026977539
2010-08-11,9.770750045776367
2010-08-12,9.742508888244629
2010-08-13,9.66485595703125
2010-08-16,9.83428955078125
2010-08-17,10.123737335205078
2010-08-18,10.32141399383545
2010-08-19,10.201395988464355
2010-08-20,10.123737335205078
2010-08-23,9.862527847290039
2010-08-24,9.587196350097656
2010-08-25,9.721329689025879
2010-08-26,9.41775894165039
2010-08-27,9.763689041137695
2010-08-30,9.587196350097656
2010-08-31,9.650732040405273
2010-09-01,10.137855529785156
2010-09-02,10.250816345214844
2010-09-03,10.427309036254883
2010-09-07,10.335531234741211
2010-09-08,10.370828628540039
2010-09-09,10.21551513671875
2010-09-10,10.074323654174805
2010-09-13,10.257874488830566
2010-09-14,10.300235748291016
2010-09-15,10.384949684143066
2010-09-16,10.688521385192871
2010-09-17,10.5967435836792
2010-09-20,10.660280227661133
2010-09-21,10.307294845581055
2010-09-22,10.201395988464355
2010-09-23,10.116681098937988
2010-09-24,10.222575187683105
2010-09-27,10.130799293518066
2010-09-28,10.042084693908691
