Date,WMB
2010-01-04,8.032990455627441
2010-01-05,8.1333589553833
2010-01-06,8.397282600402832
2010-01-07,8.337809562683105
2010-01-08,8.404714584350586
2010-01-11,8.352675437927246
2010-01-12,8.107338905334473
2010-01-13,8.11477279663086
2010-01-14,8.066447257995605
2010-01-15,7.943775653839111
2010-01-19,8.586861610412598
2010-01-20,8.601731300354004
2010-01-21,8.408435821533203
2010-01-22,8.222574234008789
2010-01-25,8.434455871582031
2010-01-26,8.2485933303833
2010-01-27,8.17052936553955
2010-01-28,8.066447257995605
2010-01-29,7.746766090393066
2010-02-01,7.988384246826172
2010-02-02,8.16309642791748
2010-02-03,8.051579475402832
2010-02-04,7.609223365783691
2010-02-05,7.531162261962891
2010-02-08,7.620375633239746
2010-02-09,7.8285441398620605
2010-02-10,7.861997604370117
2010-02-11,8.062728881835938
2010-02-12,8.044146537780762
2010-02-16,8.315502166748047
2010-02-17,8.322937965393066
2010-02-18,8.237442016601562
2010-02-19,8.267180442810059
2010-02-22,8.021842002868652
2010-02-23,7.8880205154418945
2010-02-24,8.029276847839355
2010-02-25,8.077598571777344
2010-02-26,8.006969451904297
2010-03-01,8.20026969909668
2010-03-02,8.282052040100098
2010-03-03,8.397282600402832
2010-03-04,8.38241195678711
2010-03-05,8.598014831542969
2010-03-08,8.497648239135742
2010-03-09,8.47534465789795
2010-03-10,8.486551284790039
2010-03-11,8.520167350769043
2010-03-12,8.546319961547852
2010-03-15,8.479083061218262
2010-03-16,8.632226943969727
2010-03-17,8.628490447998047
2010-03-18,8.523902893066406
2010-03-19,8.415579795837402
2010-03-22,8.408113479614258
2010-03-23,8.527639389038086
2010-03-24,8.542582511901855
2010-03-25,8.479083061218262
2010-03-26,8.497760772705078
2010-03-29,8.583670616149902
2010-03-30,8.63969898223877
2010-03-31,8.628490447998047
2010-04-01,8.733084678649902
2010-04-05,8.901167869567871
2010-04-06,8.994551658630371
2010-04-07,8.863813400268555
2010-04-08,8.938522338867188
2010-04-09,9.009491920471191
2010-04-12,9.046842575073242
2010-04-13,8.957198143005371
2010-04-14,9.039374351501465
2010-04-15,9.050580024719238
2010-04-16,8.804049491882324
2010-04-19,8.837665557861328
2010-04-20,8.934785842895508
2010-04-21,8.84514045715332
2010-04-22,8.86755084991455
2010-04-23,9.151432037353516
2010-04-26,9.136489868164062
2010-04-27,8.789106369018555
2010-04-28,8.84514045715332
2010-04-29,8.878754615783691
2010-04-30,8.818991661071777
2010-05-03,9.013225555419922
2010-05-04,8.714404106140137
2010-05-05,8.299788475036621
2010-05-06,7.862759113311768
2010-05-07,7.593822002410889
2010-05-10,8.023381233215332
2010-05-11,8.14664077758789
2010-05-12,8.370756149291992
2010-05-13,8.310988426208496
2010-05-14,8.08314323425293
2010-05-17,7.896374702453613
2010-05-18,7.784317970275879
2010-05-19,7.545262336730957
2010-05-20,7.138116836547852
2010-05-21,7.246438026428223
2010-05-24,7.10076379776001
2010-05-25,7.1455864906311035
2010-05-26,7.201613426208496
2010-05-27,7.515381336212158
2010-05-28,7.377173900604248
2010-06-01,7.055941104888916
2010-06-02,7.280056476593018
2010-06-03,7.511645793914795
2010-06-04,7.186675071716309
2010-06-07,7.022323131561279
2010-06-08,7.182940483093262
2010-06-09,7.2073774337768555
2010-06-10,7.504396438598633
2010-06-11,7.526955604553223
2010-06-14,7.496875286102295
2010-06-15,7.925482749938965
2010-06-16,7.857809543609619
2010-06-17,7.921722888946533
2010-06-18,8.053316116333008
2010-06-21,7.963083267211914
2010-06-22,7.620946407318115
2010-06-23,7.575827121734619
2010-06-24,7.440481185913086
2010-06-25,7.451759338378906
2010-06-28,7.3051300048828125
2010-06-29,6.959240913391113
2010-06-30,6.872766017913818
2010-07-01,6.729893684387207
2010-07-02,6.643420219421387
2010-07-06,6.703575134277344
2010-07-07,7.060749053955078
2010-07-08,7.181060314178467
2010-07-09,7.192338943481445
2010-07-12,7.22617769241333
2010-07-13,7.320168495178223
2010-07-14,7.252492427825928
2010-07-15,7.248732566833496
2010-07-16,7.019392967224121
2010-07-19,7.049469470977783
2010-07-20,7.229936599731445
2010-07-21,7.147222995758057
2010-07-22,7.338968753814697
2010-07-23,7.391603946685791
2010-07-26,7.455519676208496
2010-07-27,7.421683311462402
2010-07-28,7.312647342681885
2010-07-29,7.196098804473877
2010-07-30,7.297608852386475
2010-08-02,7.590867519378662
2010-08-03,7.617187023162842
2010-08-04,7.703659534454346
2010-08-05,7.820215225219727
2010-08-06,7.835249900817871
2010-08-09,7.808932781219482
2010-08-10,7.6999006271362305
2010-08-11,7.376561641693115
2010-08-12,7.312647342681885
2010-08-13,7.308890342712402
2010-08-16,7.308890342712402
2010-08-17,7.402882099151611
2010-08-18,7.286334037780762
2010-08-19,7.105865478515625
2010-08-20,7.011871814727783
2010-08-23,6.951717853546143
2010-08-24,6.801330089569092
2010-08-25,6.875150203704834
2010-08-26,6.875150203704834
2010-08-27,7.007657051086426
2010-08-30,6.878937244415283
2010-08-31,6.863796234130859
2010-09-01,7.140162944793701
2010-09-02,7.242382526397705
2010-09-03,7.314317226409912
2010-09-07,7.193164825439453
2010-09-08,7.272669792175293
2010-09-09,7.29917049407959
2010-09-10,7.291599750518799
2010-09-13,7.450606822967529
2010-09-14,7.321887493133545
2010-09-15,7.231025695800781
2010-09-16,6.981157302856445
2010-09-17,6.966014862060547
2010-09-20,7.140162944793701
2010-09-21,7.121234893798828
2010-09-22,7.060661792755127
2010-09-23,7.003872871398926
2010-09-24,7.136380195617676
2010-09-27,7.090948581695557
