Date,EBAY
2010-01-04,8.983650207519531
2010-01-05,8.889678955078125
2010-01-06,8.833293914794922
2010-01-07,8.73180866241455
2010-01-08,8.837054252624512
2010-01-11,8.81450366973877
2010-01-12,8.716772079467773
2010-01-13,8.87088394165039
2010-01-14,8.60024642944336
2010-01-15,8.446135520935059
2010-01-19,8.743085861206055
2010-01-20,8.355921745300293
2010-01-21,9.07010555267334
2010-01-22,8.863368034362793
2010-01-25,8.904716491699219
2010-01-26,9.0475492477417
2010-01-27,9.009963035583496
2010-01-28,8.769396781921387
2010-01-29,8.652870178222656
2010-02-01,8.70925521850586
2010-02-02,8.67542552947998
2010-02-03,8.73180866241455
2010-02-04,8.438617706298828
2010-02-05,8.536346435546875
2010-02-08,8.453652381896973
2010-02-09,8.408546447753906
2010-02-10,8.254433631896973
2010-02-11,8.31833553314209
2010-02-12,8.183015823364258
2010-02-16,8.464929580688477
2010-02-17,8.52507209777832
2010-02-18,8.585212707519531
2010-02-19,8.80322551727295
2010-02-22,8.750604629516602
2010-02-23,8.604007720947266
2010-02-24,8.743085861206055
2010-02-25,8.645355224609375
2010-02-26,8.652870178222656
2010-03-01,8.976131439208984
2010-03-02,9.017477989196777
2010-03-03,8.837054252624512
2010-03-04,8.938542366027832
2010-03-05,9.258047103881836
2010-03-08,9.336982727050781
2010-03-09,9.588825225830078
2010-03-10,9.607617378234863
2010-03-11,9.56251335144043
2010-03-12,9.76173210144043
2010-03-15,9.878256797790527
2010-03-16,10.06995964050293
2010-03-17,10.141374588012695
2010-03-18,10.32180118560791
2010-03-19,10.220312118530273
2010-03-22,10.175209045410156
2010-03-23,10.167688369750977
2010-03-24,10.12633991241455
2010-03-25,10.359389305114746
2010-03-26,10.31804084777832
2010-03-29,10.254142761230469
2010-03-30,10.201517105102539
2010-03-31,10.137617111206055
2010-04-01,9.987264633178711
2010-04-05,10.287973403930664
2010-04-06,10.250384330749512
2010-04-07,10.092512130737305
2010-04-08,9.945919036865234
2010-04-09,9.97974681854248
2010-04-12,10.00981616973877
2010-04-13,10.013574600219727
2010-04-14,10.16392993927002
2010-04-15,10.141374588012695
2010-04-16,9.897051811218262
2010-04-19,9.893293380737305
2010-04-20,9.923362731933594
2010-04-21,9.8820161819458
2010-04-22,9.31442928314209
2010-04-23,9.227975845336914
2010-04-26,9.231734275817871
2010-04-27,8.934783935546875
2010-04-28,9.017477989196777
2010-04-29,9.1114501953125
2010-04-30,8.938542366027832
2010-05-03,8.987408638000488
2010-05-04,8.67542552947998
2010-05-05,8.517553329467773
2010-05-06,8.370960235595703
2010-05-07,8.074010848999023
2010-05-10,8.393511772155762
2010-05-11,8.412308692932129
2010-05-12,8.461169242858887
2010-05-13,8.52507209777832
2010-05-14,8.363438606262207
2010-05-17,8.461169242858887
2010-05-18,8.333369255065918
2010-05-19,8.134148597717285
2010-05-20,7.822165489196777
2010-05-21,8.051454544067383
2010-05-24,8.02890396118164
2010-05-25,8.115357398986816
2010-05-26,8.036418914794922
2010-05-27,8.235638618469238
2010-05-28,8.047697067260742
2010-06-01,7.878548622131348
2010-06-02,7.987555980682373
2010-06-03,8.337127685546875
2010-06-04,8.26570987701416
2010-06-07,8.100319862365723
2010-06-08,8.152944564819336
2010-06-09,8.186774253845215
2010-06-10,8.374717712402344
2010-06-11,8.513795852661133
2010-06-14,8.348406791687012
2010-06-15,8.416064262390137
2010-06-16,8.31833553314209
2010-06-17,8.307058334350586
2010-06-18,8.329609870910645
2010-06-21,8.22060489654541
2010-06-22,8.10407829284668
2010-06-23,8.021383285522461
2010-06-24,7.840959548950195
2010-06-25,7.874788761138916
2010-06-28,7.7845778465271
2010-06-29,7.4011759757995605
2010-06-30,7.371104717254639
2010-07-01,7.382379055023193
2010-07-02,7.239543437957764
2010-07-06,7.273373126983643
2010-07-07,7.446279048919678
2010-07-08,7.476352691650391
2010-07-09,7.626707553863525
2010-07-12,7.600393295288086
2010-07-13,7.897343635559082
2010-07-14,7.934929847717285
2010-07-15,7.9048590660095215
2010-07-16,7.551527976989746
2010-07-19,7.668055057525635
2010-07-20,7.814647674560547
2010-07-21,7.581597328186035
2010-07-22,7.871030807495117
2010-07-23,7.9274139404296875
2010-07-26,7.946210861206055
2010-07-27,7.908616542816162
2010-07-28,7.908616542816162
2010-07-29,7.807132720947266
2010-07-30,7.859753608703613
2010-08-02,8.06649398803711
2010-08-03,7.8823089599609375
2010-08-04,7.9311723709106445
2010-08-05,7.919897079467773
2010-08-06,8.062731742858887
2010-08-09,8.26194953918457
2010-08-10,8.235638618469238
2010-08-11,7.987555980682373
2010-08-12,8.115357398986816
2010-08-13,8.081527709960938
2010-08-16,8.288264274597168
2010-08-17,8.401028633117676
2010-08-18,8.547624588012695
2010-08-19,8.694217681884766
2010-08-20,8.784433364868164
2010-08-23,8.746841430664062
2010-08-24,8.596489906311035
2010-08-25,8.705497741699219
2010-08-26,8.543865203857422
2010-08-27,8.7130126953125
2010-08-30,8.694217681884766
2010-08-31,8.73180866241455
2010-09-01,9.032517433166504
2010-09-02,9.043791770935059
2010-09-03,9.07010555267334
2010-09-07,8.844573974609375
2010-09-08,9.235492706298828
2010-09-09,9.134007453918457
2010-09-10,9.058828353881836
2010-09-13,9.134007453918457
2010-09-14,9.115212440490723
2010-09-15,9.092655181884766
2010-09-16,8.983650207519531
2010-09-17,9.103934288024902
2010-09-20,9.265565872192383
2010-09-21,9.299396514892578
2010-09-22,9.149041175842285
2010-09-23,9.115212440490723
2010-09-24,9.299396514892578
2010-09-27,9.310667037963867
