Date,BLK
2010-01-04,159.10462951660156
2010-01-05,159.7915496826172
2010-01-06,156.4971160888672
2010-01-07,158.21766662597656
2010-01-08,159.3313446044922
2010-01-11,161.92550659179688
2010-01-12,159.03126525878906
2010-01-13,159.66477966308594
2010-01-14,158.6511688232422
2010-01-15,158.77780151367188
2010-01-19,160.0582275390625
2010-01-20,158.8912353515625
2010-01-21,153.54286193847656
2010-01-22,150.0483856201172
2010-01-25,151.0220184326172
2010-01-26,149.85496520996094
2010-01-27,151.22877502441406
2010-01-28,146.473876953125
2010-01-29,142.59263610839844
2010-02-01,144.42652893066406
2010-02-02,144.0464630126953
2010-02-03,147.1407928466797
2010-02-04,140.8787384033203
2010-02-05,139.2382049560547
2010-02-08,136.48394775390625
2010-02-09,139.2982177734375
2010-02-10,140.79872131347656
2010-02-11,138.24452209472656
2010-02-12,138.15121459960938
2010-02-16,140.31858825683594
2010-02-17,142.10580444335938
2010-02-18,142.5325927734375
2010-02-19,143.7196502685547
2010-02-22,144.86669921875
2010-02-23,143.2928466796875
2010-02-24,145.6203155517578
2010-02-25,145.58030700683594
2010-02-26,145.91371154785156
2010-03-01,145.38023376464844
2010-03-02,144.31988525390625
2010-03-03,144.099853515625
2010-03-04,144.6090087890625
2010-03-05,147.2822265625
2010-03-08,146.13653564453125
2010-03-09,145.3660430908203
2010-03-10,144.51513671875
2010-03-11,140.97093200683594
2010-03-12,140.6962127685547
2010-03-15,142.15017700195312
2010-03-16,142.2707061767578
2010-03-17,149.2720489501953
2010-03-18,151.1881866455078
2010-03-19,150.31048583984375
2010-03-22,151.21502685546875
2010-03-23,152.0860137939453
2010-03-24,150.74603271484375
2010-03-25,151.02072143554688
2010-03-26,146.90696716308594
2010-03-29,147.4295196533203
2010-03-30,146.81320190429688
2010-03-31,145.89529418945312
2010-04-01,141.39976501464844
2010-04-05,138.016357421875
2010-04-06,133.02496337890625
2010-04-07,133.33982849121094
2010-04-08,137.05152893066406
2010-04-09,138.0900421142578
2010-04-12,137.88235473632812
2010-04-13,138.61929321289062
2010-04-14,141.62091064453125
2010-04-15,138.48533630371094
2010-04-16,134.49896240234375
2010-04-19,135.7451171875
2010-04-20,136.12701416015625
2010-04-21,134.80038452148438
2010-04-22,139.21556091308594
2010-04-23,141.37969970703125
2010-04-26,129.27304077148438
2010-04-27,124.28172302246094
2010-04-28,123.57156372070312
2010-04-29,127.5579833984375
2010-04-30,123.27679443359375
2010-05-03,124.45588684082031
2010-05-04,119.04244232177734
2010-05-05,117.11294555664062
2010-05-06,114.98231506347656
2010-05-07,115.3173599243164
2010-05-10,118.29874420166016
2010-05-11,114.56028747558594
2010-05-12,116.55680084228516
2010-05-13,115.48482513427734
2010-05-14,113.70940399169922
2010-05-17,114.56696319580078
2010-05-18,112.88528442382812
2010-05-19,112.52349853515625
2010-05-20,107.26415252685547
2010-05-21,111.53192138671875
2010-05-24,108.51034545898438
2010-05-25,108.83192443847656
2010-05-26,109.9039077758789
2010-05-27,115.49826049804688
2010-05-28,112.47661590576172
2010-06-01,109.34110260009766
2010-06-02,110.39299774169922
2010-06-03,110.44017028808594
2010-06-04,107.50792694091797
2010-06-07,106.16653442382812
2010-06-08,105.48571014404297
2010-06-09,104.42068481445312
2010-06-10,105.81603240966797
2010-06-11,107.27201080322266
2010-06-14,107.02261352539062
2010-06-15,110.06269836425781
2010-06-16,108.87632751464844
2010-06-17,107.42707061767578
2010-06-18,107.02261352539062
2010-06-21,106.44967651367188
2010-06-22,105.047607421875
2010-06-23,104.51507568359375
2010-06-24,101.60980987548828
2010-06-25,102.68829345703125
2010-06-28,102.553466796875
2010-06-29,98.14508056640625
2010-06-30,96.66209411621094
2010-07-01,94.58596801757812
2010-07-02,96.25092315673828
2010-07-06,97.88220977783203
2010-07-07,100.0864028930664
2010-07-08,102.62763977050781
2010-07-09,104.4611587524414
2010-07-12,103.90839385986328
2010-07-13,105.76211547851562
2010-07-14,104.64989471435547
2010-07-15,103.80054473876953
2010-07-16,100.53125
2010-07-19,99.8504867553711
2010-07-20,100.6795654296875
2010-07-21,96.61494445800781
2010-07-22,101.92662048339844
2010-07-23,104.1375732421875
2010-07-26,107.61579895019531
2010-07-27,106.22047424316406
2010-07-28,105.82952880859375
2010-07-29,106.66535186767578
2010-07-30,106.15977478027344
2010-08-02,109.7728271484375
2010-08-03,108.41795349121094
2010-08-04,108.14154052734375
2010-08-05,108.20220947265625
2010-08-06,105.9373550415039
2010-08-09,107.61579895019531
2010-08-10,107.45404052734375
2010-08-11,103.09951782226562
2010-08-12,100.77394104003906
2010-08-13,102.17605590820312
2010-08-16,101.66375732421875
2010-08-17,102.39170837402344
2010-08-18,101.4345474243164
2010-08-19,99.31121063232422
2010-08-20,98.01024627685547
2010-08-23,96.49358367919922
2010-08-24,95.3072509765625
2010-08-25,95.17914581298828
2010-08-26,93.9927749633789
2010-08-27,95.14545440673828
2010-08-30,95.83299255371094
2010-08-31,96.36249542236328
2010-09-01,99.49876403808594
2010-09-02,101.35202026367188
2010-09-03,102.87947082519531
2010-09-07,102.35675811767578
2010-09-08,103.14421844482422
2010-09-09,102.32957458496094
2010-09-10,102.61473083496094
2010-09-13,102.29561614990234
2010-09-14,108.31023406982422
2010-09-15,111.94204711914062
2010-09-16,110.3399658203125
2010-09-17,112.0439224243164
2010-09-20,116.54463195800781
2010-09-21,113.87679290771484
2010-09-22,112.51229858398438
2010-09-23,109.74937438964844
2010-09-24,113.52375793457031
2010-09-27,112.62091827392578
2010-09-28,114.5013198852539
2010-09-29,114.56243133544922
