Date,FCX
2010-01-04,30.10959815979004
2010-01-05,30.28998565673828
2010-01-06,31.498571395874023
2010-01-07,30.896095275878906
2010-01-08,31.783571243286133
2010-01-11,31.779951095581055
2010-01-12,30.58221435546875
2010-01-13,31.135175704956055
2010-01-14,30.748455047607422
2010-01-15,30.46656608581543
2010-01-19,30.574979782104492
2010-01-20,30.18465805053711
2010-01-21,27.568073272705078
2010-01-22,26.827198028564453
2010-01-25,26.960920333862305
2010-01-26,26.01764488220215
2010-01-27,25.750202178955078
2010-01-28,24.871997833251953
2010-01-29,24.10219383239746
2010-02-01,25.87308692932129
2010-02-02,26.20557975769043
2010-02-03,25.464696884155273
2010-02-04,24.120267868041992
2010-02-05,25.381582260131836
2010-02-08,25.009323120117188
2010-02-09,25.86946678161621
2010-02-10,25.670698165893555
2010-02-11,26.805509567260742
2010-02-12,26.62842559814453
2010-02-16,27.445207595825195
2010-02-17,27.14885711669922
2010-02-18,27.683731079101562
2010-02-19,27.88612937927246
2010-02-22,27.55362892150879
2010-02-23,26.613964080810547
2010-02-24,26.26702117919922
2010-02-25,26.76937484741211
2010-02-26,27.163307189941406
2010-03-01,27.629518508911133
2010-03-02,28.18248176574707
2010-03-03,28.63784408569336
2010-03-04,28.493284225463867
2010-03-05,29.169105529785156
2010-03-08,29.1365909576416
2010-03-09,28.825777053833008
2010-03-10,28.94142723083496
2010-03-11,29.093210220336914
2010-03-12,29.104045867919922
2010-03-15,29.151039123535156
2010-03-16,29.703989028930664
2010-03-17,29.357044219970703
2010-03-18,29.010087966918945
2010-03-19,28.3740234375
2010-03-22,28.84023666381836
2010-03-23,29.306447982788086
2010-03-24,28.836620330810547
2010-03-25,28.15717315673828
2010-03-26,28.61253547668457
2010-03-29,29.95336151123047
2010-03-30,30.235273361206055
2010-03-31,30.191890716552734
2010-04-01,31.182151794433594
2010-04-05,31.56162452697754
2010-04-06,31.56162452697754
2010-04-07,31.055644989013672
2010-04-08,31.09902572631836
2010-04-09,30.961679458618164
2010-04-12,30.50270652770996
2010-04-13,30.690967559814453
2010-04-14,30.904569625854492
2010-04-15,30.491844177246094
2010-04-16,29.391220092773438
2010-04-19,29.253631591796875
2010-04-20,29.253631591796875
2010-04-21,28.388324737548828
2010-04-22,29.145002365112305
2010-04-23,28.8046817779541
2010-04-26,29.108816146850586
2010-04-27,27.57010269165039
2010-04-28,27.69319725036621
2010-04-29,28.138513565063477
2010-04-30,27.345623016357422
2010-05-03,26.69755744934082
2010-05-04,25.520893096923828
2010-05-05,25.502790451049805
2010-05-06,24.992298126220703
2010-05-07,24.470947265625
2010-05-10,26.248615264892578
2010-05-11,25.430381774902344
2010-05-12,26.429636001586914
2010-05-13,25.96259307861328
2010-05-14,25.242109298706055
2010-05-17,24.6085262298584
2010-05-18,24.384052276611328
2010-05-19,24.507156372070312
2010-05-20,23.033611297607422
2010-05-21,24.260955810546875
2010-05-24,23.73598289489746
2010-05-25,24.4818115234375
2010-05-26,24.10890007019043
2010-05-27,25.730880737304688
2010-05-28,25.361587524414062
2010-06-01,24.07269287109375
2010-06-02,24.98868179321289
2010-06-03,23.956832885742188
2010-06-04,22.740354537963867
2010-06-07,21.23784828186035
2010-06-08,22.258834838867188
2010-06-09,21.994529724121094
2010-06-10,23.301528930664062
2010-06-11,23.507898330688477
2010-06-14,23.627368927001953
2010-06-15,24.27543830871582
2010-06-16,24.268199920654297
2010-06-17,23.82650375366211
2010-06-18,23.859079360961914
2010-06-21,24.64835548400879
2010-06-22,23.602033615112305
2010-06-23,23.554962158203125
2010-06-24,22.968442916870117
2010-06-25,24.10165786743164
2010-06-28,23.410146713256836
2010-06-29,22.11038589477539
2010-06-30,21.40801239013672
2010-07-01,21.064064025878906
2010-07-02,21.19439697265625
2010-07-06,21.429725646972656
2010-07-07,22.79465675354004
2010-07-08,22.867069244384766
2010-07-09,23.8880558013916
2010-07-12,22.888792037963867
2010-07-13,23.325328826904297
2010-07-14,23.15798568725586
2010-07-15,22.979734420776367
2010-07-16,21.855667114257812
2010-07-19,22.139413833618164
2010-07-20,23.3980770111084
2010-07-21,24.03105354309082
2010-07-22,25.02052116394043
2010-07-23,25.85720443725586
2010-07-26,25.915414810180664
2010-07-27,25.402488708496094
2010-07-28,25.602558135986328
2010-07-29,25.733516693115234
2010-07-30,26.024538040161133
2010-08-02,27.210451126098633
2010-08-03,26.930335998535156
2010-08-04,27.283203125
2010-08-05,26.944894790649414
2010-08-06,27.14133071899414
2010-08-09,27.184980392456055
2010-08-10,26.632041931152344
2010-08-11,25.47887420654297
2010-08-12,25.60619354248047
2010-08-13,25.489788055419922
2010-08-16,25.693506240844727
2010-08-17,26.493816375732422
2010-08-18,26.635684967041016
2010-08-19,26.2246150970459
2010-08-20,25.962697982788086
2010-08-23,25.59528160095215
2010-08-24,24.39118194580078
2010-08-25,24.249313354492188
2010-08-26,24.41301918029785
2010-08-27,25.90085792541504
2010-08-30,25.59528160095215
2010-08-31,26.18824005126953
2010-09-01,27.716094970703125
2010-09-02,27.99620819091797
2010-09-03,28.574609756469727
2010-09-07,28.3236026763916
2010-09-08,28.78923988342285
2010-09-09,28.4327449798584
2010-09-10,28.851072311401367
2010-09-13,29.74959945678711
2010-09-14,29.625938415527344
2010-09-15,29.61138153076172
2010-09-16,29.731416702270508
2010-09-17,29.7277889251709
2010-09-20,30.320728302001953
2010-09-21,30.189781188964844
2010-09-22,30.74271583557129
2010-09-23,30.640859603881836
2010-09-24,31.50664710998535
2010-09-27,31.48845863342285
2010-09-28,31.659425735473633
