Date,RJF
2010-01-04,12.886844635009766
2010-01-05,13.093925476074219
2010-01-06,13.279766082763672
2010-01-07,13.200121879577637
2010-01-08,13.056756973266602
2010-01-11,13.024896621704102
2010-01-12,12.770024299621582
2010-01-13,13.247908592224121
2010-01-14,13.332865715026855
2010-01-15,13.16826057434082
2010-01-19,13.301007270812988
2010-01-20,13.343486785888672
2010-01-21,14.18774127960205
2010-01-22,14.044374465942383
2010-01-25,13.954106330871582
2010-01-26,13.837291717529297
2010-01-27,13.943486213684082
2010-01-28,13.64083194732666
2010-01-29,13.439059257507324
2010-02-01,13.582425117492676
2010-02-02,13.996585845947266
2010-02-03,14.1930513381958
2010-02-04,13.571805953979492
2010-02-05,13.364723205566406
2010-02-08,13.412510871887207
2010-02-09,13.561184883117676
2010-02-10,13.672690391540527
2010-02-11,13.61959457397461
2010-02-12,13.757646560668945
2010-02-16,13.95942211151123
2010-02-17,14.033756256103516
2010-02-18,13.991279602050781
2010-02-19,14.171812057495117
2010-02-22,14.235523223876953
2010-02-23,13.885086059570312
2010-02-24,13.736408233642578
2010-02-25,13.582425117492676
2010-02-26,13.73110294342041
2010-03-01,13.991279602050781
2010-03-02,14.155881881713867
2010-03-03,14.256767272949219
2010-03-04,14.352347373962402
2010-03-05,14.543500900268555
2010-03-08,14.74526596069336
2010-03-09,14.660316467285156
2010-03-10,14.734652519226074
2010-03-11,14.665624618530273
2010-03-12,14.60190486907959
2010-03-15,14.787750244140625
2010-03-16,14.739960670471191
2010-03-17,14.856778144836426
2010-03-18,14.856778144836426
2010-03-19,14.793059349060059
2010-03-22,14.931109428405762
2010-03-23,14.899250984191895
2010-03-24,14.750579833984375
2010-03-25,14.729336738586426
2010-03-26,14.421372413635254
2010-03-29,14.532873153686523
2010-03-30,14.623509407043457
2010-03-31,14.255653381347656
2010-04-01,14.447579383850098
2010-04-05,14.719470977783203
2010-04-06,14.986024856567383
2010-04-07,15.103315353393555
2010-04-08,15.295233726501465
2010-04-09,15.412520408630371
2010-04-12,15.476497650146484
2010-04-13,15.705743789672852
2010-04-14,16.094926834106445
2010-04-15,16.132240295410156
2010-04-16,15.679088592529297
2010-04-19,15.865681648254395
2010-04-20,15.966971397399902
2010-04-21,16.00962257385254
2010-04-22,16.249521255493164
2010-04-23,16.59071922302246
2010-04-26,16.38280487060547
2010-04-27,16.036272048950195
2010-04-28,16.121580123901367
2010-04-29,16.350814819335938
2010-04-30,16.334827423095703
2010-05-03,16.505420684814453
2010-05-04,15.83902359008789
2010-05-05,15.727069854736328
2010-05-06,15.097982406616211
2010-05-07,15.060667037963867
2010-05-10,15.812368392944336
2010-05-11,15.77504825592041
2010-05-12,16.046932220458984
2010-05-13,15.977636337280273
2010-05-14,15.321895599365234
2010-05-17,15.145963668823242
2010-05-18,14.724800109863281
2010-05-19,14.735459327697754
2010-05-20,14.015750885009766
2010-05-21,14.650163650512695
2010-05-24,14.532873153686523
2010-05-25,14.527544021606445
2010-05-26,14.61284351348877
2010-05-27,15.231263160705566
2010-05-28,15.071331024169922
2010-06-01,14.623509407043457
2010-06-02,15.220600128173828
2010-06-03,15.156625747680664
2010-06-04,14.719470977783203
2010-06-07,14.527544021606445
2010-06-08,14.687478065490723
2010-06-09,14.506221771240234
2010-06-10,14.9540433883667
2010-06-11,15.087316513061523
2010-06-14,15.00735092163086
2010-06-15,15.279245376586914
2010-06-16,15.257918357849121
2010-06-17,14.948710441589355
2010-06-18,14.655495643615723
2010-06-21,14.548871040344238
2010-06-22,14.490227699279785
2010-06-23,14.346283912658691
2010-06-24,14.19700813293457
2010-06-25,14.165024757385254
2010-06-28,14.239659309387207
2010-06-29,13.41525650024414
2010-06-30,13.217183113098145
2010-07-01,12.954877853393555
2010-07-02,13.040531158447266
2010-07-06,13.334956169128418
2010-07-07,13.731099128723145
2010-07-08,13.693622589111328
2010-07-09,13.891700744628906
2010-07-12,14.014820098876953
2010-07-13,14.38420581817627
2010-07-14,14.186121940612793
2010-07-15,14.052291870117188
2010-07-16,13.265366554260254
2010-07-19,13.431318283081055
2010-07-20,13.458085060119629
2010-07-21,13.522323608398438
2010-07-22,13.784636497497559
2010-07-23,14.073709487915039
2010-07-26,14.609033584594727
2010-07-27,14.587621688842773
2010-07-28,14.410964012145996
2010-07-29,14.319952964782715
2010-07-30,14.282482147216797
2010-08-02,14.641157150268555
2010-08-03,14.421671867370605
2010-08-04,14.694680213928223
2010-08-05,14.662567138671875
2010-08-06,14.6358003616333
2010-08-09,14.544793128967285
2010-08-10,14.266426086425781
2010-08-11,13.661506652832031
2010-08-12,13.570499420166016
2010-08-13,13.399199485778809
2010-08-16,13.334956169128418
2010-08-17,13.538383483886719
2010-08-18,13.59726619720459
2010-08-19,13.163657188415527
2010-08-20,13.334956169128418
2010-08-23,13.061945915222168
2010-08-24,12.719337463378906
2010-08-25,12.767515182495117
2010-08-26,12.521263122558594
2010-08-27,12.863873481750488
2010-08-30,12.451671600341797
2010-08-31,12.355311393737793
2010-09-01,12.917404174804688
2010-09-02,13.06729507446289
2010-09-03,13.356372833251953
2010-09-07,13.00841236114502
2010-09-08,13.01911735534668
2010-09-09,13.152945518493652
2010-09-10,13.083354949951172
2010-09-13,13.490203857421875
2010-09-14,13.420611381530762
2010-09-15,13.575851440429688
2010-09-16,13.59726619720459
2010-09-17,13.66685962677002
2010-09-20,13.624037742614746
2010-09-21,13.495561599731445
2010-09-22,13.110122680664062
2010-09-23,12.976289749145508
2010-09-24,13.36172103881836
2010-09-27,13.36172103881836
2010-09-28,13.591917991638184
